FID,COUNT,AREA,SUM,aug_22,nov_dec_24,oct_24,recur
4,62960,0.001982994,7733,0.122824015,0.076626529,0.121163602,3
8,177064,0.005576825,319,0.001801608,0.002837736,0.168068933,3
19,1656576,0.052175682,24360,0.01470503,8.74323E-05,0.062279964,3
20,1271083,0.040034156,11427,0.008989972,0.000338707,0.057015287,3
21,155676,0.004903187,701,0.004502942,0.005866119,0.031459333,3
22,1959206,0.061707347,8637,0.004408419,8.82043E-05,0.018526899,3
28,42531,0.001339561,449,0.010557005,0.007843321,0.02291026,3
52,6395322,0.201427697,137,2.14219E-05,3.405E-05,0.000256517,3
57,211100,0.006648827,60,0.000284225,0.00084686,0.003746257,3
59,665752,0.020968591,57,8.56175E-05,0.000358656,0.001128108,3
62,423600,0.013341748,452,0.001067044,0.000702736,0.001258757,3
78,4867341,0.153302256,14121,0.002901173,0.021106739,0.029006836,3
79,2632546,0.08291493,14444,0.005486704,0.023117045,0.046032205,3
80,993493,0.031291154,219,0.000220434,0.003202347,0.020252188,3
138,249848,0.007869237,445,0.001781083,0.000351811,0.000751285,3
149,958825,0.030199247,2797,0.002917112,0.001040721,0.021025994,3
155,920503,0.028992254,861,0.000935358,0.000108513,0.000357944,3
162,677106,0.021326198,1985,0.002931594,0.007837902,0.057817226,3
163,837187,0.026368125,3992,0.004768349,0.003504217,0.020100011,3
165,173268,0.005457266,1004,0.005794492,2.30597E-05,0.005658899,3
207,1452577,0.045750509,2222,0.001529695,0.001798947,0.011275043,3
209,1178567,0.037120263,9468,0.008033485,0.000254261,0.040851874,3
210,2270633,0.071516082,1194,0.000525845,0.000106461,0.015233853,3
236,185441,0.005840668,1045,0.005635216,0.000339367,0.013199544,3
238,876026,0.027591402,2643,0.003017034,0.000270249,0.005710358,3
278,391106,0.012318313,474,0.001211948,0.000664002,0.002928344,3
280,481796,0.015174695,546,0.00113326,0.000354544,0.001916983,3
294,1571785,0.049505096,3896,0.002478711,0.002224879,0.001426116,3
322,312938,0.009856326,7,2.23686E-05,0.000443697,0.002007013,3
324,3676115,0.115783283,13922,0.00378715,0.00656136,0.014784317,3
325,2394183,0.075407426,581,0.000242672,0.00112565,0.000152638,3
326,1653508,0.052079052,78,4.71724E-05,0.001092212,0.000771726,3
328,795051,0.025041005,5111,0.006428518,0.003141976,0.034033314,3
338,635417,0.020013157,641,0.001008786,0.000565942,0.043436721,3
351,335499,0.01056691,1008,0.00300448,0.000449569,0.009672389,3
355,478270,0.015063639,743,0.001553516,0.004960359,0.067443807,3
382,470181,0.014808867,703,0.001495169,2.97402E-05,0.001286829,3
383,756304,0.023820626,3074,0.004064503,0.004548799,0.006757007,3
388,1632396,0.051414107,18648,0.011423699,0.001113057,0.027044748,3
389,2088028,0.065764737,1316,0.00063026,0.003176509,0.023579571,3
390,3392573,0.106852816,42845,0.012629058,0.00801182,0.020645679,3
392,4653729,0.146574311,71,1.52566E-05,4.52895E-05,0.002864962,3
393,1570320,0.049458955,2223,0.001415635,0.000396943,0.00397786,3
394,772842,0.024341508,4571,0.005914534,0.001476087,0.013153815,3
400,19690,0.000620158,161,0.008176739,0.00598529,0.078479087,3
430,1153056,0.036316766,2435,0.002111779,0.000901753,0.000148949,3
431,415393,0.013083259,659,0.001586449,0.000827243,0.001182658,3
438,4490207,0.141424006,266,5.924E-05,1.53497E-05,0.000106291,3
457,6546015,0.206173939,138,2.10815E-05,0.00147374,0.005498524,3
458,3123420,0.098375547,8858,0.002835994,0.000105217,0.023940888,3
474,964429,0.030375752,1403,0.001454747,6.62897E-05,0.001378076,3
488,483334,0.015223136,193,0.00039931,0.000105396,0.001125775,3
500,416770,0.013126629,112,0.000268733,0.000148602,0.000448019,3
501,244364,0.007696513,4043,0.01654499,0.000237098,0.076742029,3
504,1057209,0.03329796,70,6.62121E-05,0.000210699,0.004953679,3
507,827202,0.026053636,5193,0.006277789,0.000172714,0.006187556,3
508,703659,0.022162514,2129,0.003025613,1.7034E-05,0.013522411,3
509,639831,0.020152181,1998,0.0031227,0.000881842,0.002637324,3
544,6444915,0.202989683,6443,0.000999703,0.000288274,0.004134916,3
545,10279965,0.323778799,4320,0.000420235,0.000446393,0.004786876,3
23,89763,0.002827184,645,0.007185589,0,0.193872784,2
49,2352099,0.074081944,0,0,5.13855E-05,0.00082397,2
50,2315888,0.072941438,0,0,3.75245E-05,6.03623E-05,2
53,2681418,0.084454208,0,0,0.000100583,0.00019028,2
68,1814028,0.057134806,0,0,0.004167282,0.005783828,2
75,757309,0.023852279,613,0.000809445,0,0.000510248,2
76,68414,0.002154774,0,0,0.042595134,0.057086155,2
82,10533,0.000331748,0,0,0.000189322,0.010228241,2
83,17195,0.000541575,0,0,0.052267844,0.151207337,2
137,440434,0.013871953,3649,0.00828501,0,0.002951605,2
139,1020635,0.032146021,583,0.000571213,0,7.04352E-05,2
