FID,COUNT,AREA,SUM,Percentage
1,127387,0.004007733,0,0
2,70222,0.00220926,0,0
3,34428,0.001083142,0,0
4,63033,0.001983087,4830,0.076626529
5,88407,0.00278138,0,0
6,73887,0.002324565,0,0
7,56603,0.001780792,0,0
8,177254,0.005576603,503,0.002837736
9,50953,0.001603037,0,0
10,101172,0.003182981,0,0
11,91585,0.002881363,0,0
12,41814,0.001315514,0,0
13,110592,0.003479344,0,0
14,29050,0.000913945,0,0
15,181818,0.005720191,0,0
16,40218,0.001265302,0,0
17,27569,0.000867351,0,0
18,408531,0.012852828,0,0
19,1658426,0.052175881,145,8.74323E-05
20,1272485,0.040033758,431,0.000338707
21,155810,0.004901952,914,0.005866119
22,1961356,0.061706387,173,8.82043E-05
23,89871,0.002827439,0,0
24,11726,0.000368913,0,0
25,11610,0.000365263,0,0
26,19401,0.000610377,0,0
27,36913,0.001161323,0,0
28,42584,0.001339739,334,0.007843321
29,365303,0.011492829,0,0
30,308109,0.009693443,0,0
31,419963,0.013212491,0,0
32,3089336,0.097193861,417,0.00013498
33,2772965,0.087240486,638,0.000230079
34,1582034,0.049772505,226,0.000142854
35,892947,0.028093081,56,6.27137E-05
36,1118145,0.035178054,0,0
37,813538,0.025594788,0,0
38,987865,0.031079304,131,0.000132609
39,26766,0.000842087,0,0
40,108119,0.003401541,0,0
41,1841934,0.057949241,0,0
42,664335,0.0209007,0,0
43,6328849,0.199112453,0,0
44,6210124,0.195377236,0,0
45,4998057,0.157244294,992,0.000198477
46,3148865,0.099066708,7109,0.002257639
47,2635344,0.08291078,461,0.00017493
48,5018997,0.157903089,393,7.83025E-05
49,2354749,0.074082957,121,5.13855E-05
50,2318486,0.072942084,87,3.75245E-05
51,61800,0.001944295,0,0
52,6402356,0.201425063,218,3.405E-05
53,2684344,0.084452373,270,0.000100583
54,19021,0.000598421,0,0
55,14813,0.000466033,0,0
56,582348,0.0183213,0,0
57,211369,0.006649898,179,0.00084686
58,111929,0.003521408,0,0
59,666376,0.020964912,239,0.000358656
60,1295424,0.040755444,0,0
61,550395,0.017316024,0,0
62,424057,0.013341293,298,0.000702736
63,761299,0.023951292,0,0
64,284116,0.008938597,0,0
65,991123,0.031181804,0,0
66,3207048,0.100897208,0,0
67,1740504,0.054758143,0,0
68,1816052,0.057134965,7568,0.004167282
69,30232,0.000951132,0,0
70,3936065,0.123832874,145,3.68388E-05
71,3072576,0.096666573,0,0
72,1960219,0.061670616,0,0
73,7860309,0.247293846,0,0
74,338261,0.010642058,0,0
75,758105,0.023850805,0,0
76,68482,0.002154518,2917,0.042595134
77,57071,0.001795516,0,0
78,4872804,0.153303698,102849,0.021106739
79,2635458,0.082914367,60924,0.023117045
80,994583,0.03129066,3185,0.003202347
81,7747,0.000243729,0,0
82,10564,0.000332355,2,0.000189322
83,17219,0.000541728,900,0.052267844
84,733380,0.02307293,0,0
85,459415,0.014453694,0,0
86,42466,0.001336026,0,0
87,258034,0.008118029,0,0
88,799257,0.025145492,0,0
89,1041019,0.032751587,0,0
90,1080182,0.033983697,0,0
91,32057,0.001008548,0,0
92,14457,0.000454833,0,0
93,12558,0.000395088,0,0
94,493,1.55103E-05,0,0
95,5134,0.000161521,0,0
96,6554,0.000206196,0,0
97,811771,0.025539196,0,0
98,1070418,0.033676511,0,0
99,1305049,0.041058257,0,0
100,1250628,0.039346113,0,0
101,739119,0.023253485,0,0
102,2588217,0.081428114,6805,0.002629223
103,1165829,0.036678245,0,0
104,622670,0.019589873,0,0
105,1111097,0.034956317,0,0
106,472710,0.014871969,0,0
107,1126419,0.035438363,291,0.000258341
108,243927,0.007674208,0,0
109,566984,0.017837932,377,0.000664922
110,363082,0.011422953,0,0
111,870929,0.027400371,302,0.000346756
112,636068,0.020011389,0,0
113,186002,0.005851825,0,0
114,56047,0.001763299,0,0
115,2079453,0.065421847,86,4.1357E-05
116,2487559,0.078261304,0,0
117,3449397,0.10852177,75,2.17429E-05
118,2327774,0.073234294,0,0
119,1294558,0.040728199,0,0
120,903491,0.028424807,0,0
121,585821,0.018430564,0,0
