FID,COUNT,AREA,SUM,PERCENTAGE
1,127474,0.004008818,0,0
2,70255,0.002209388,3982,0.05667924
3,34425,0.001082602,0,0
4,63080,0.001983747,7643,0.121163602
5,88432,0.00278102,67,0.000757644
6,73909,0.002324299,0,0
7,56609,0.001780247,0,0
8,177332,0.005576758,29804,0.168068933
9,50983,0.00160332,0,0
10,101213,0.003182959,0,0
11,91624,0.002881403,0,0
12,41829,0.001315443,0,0
13,110617,0.003478697,0,0
14,29075,0.000914354,0,0
15,181872,0.005719533,0,0
16,40225,0.001265001,0,0
17,27544,0.000866207,0,0
18,408712,0.012853224,0,0
19,1659105,0.052175734,103329,0.062279964
20,1273027,0.040034306,72582,0.057015287
21,155852,0.004901252,4903,0.031459333
22,1962174,0.061706684,36353,0.018526899
23,89894,0.002826997,17428,0.193872784
24,11727,0.000368792,0,0
25,11601,0.00036483,0,0
26,19412,0.000610471,0,0
27,36935,0.001161536,0,0
28,42601,0.001339721,976,0.02291026
29,365474,0.01149347,0,0
30,308237,0.009693474,0,0
31,420116,0.013211859,0,0
32,3090619,0.097194158,0,0
33,2774140,0.087241489,0,0
34,1582669,0.049771965,0,0
35,893232,0.028090467,0,0
36,1118619,0.035178465,0,0
37,813875,0.025594839,0,0
38,988283,0.031079643,0,0
39,26776,0.000842055,0,0
40,108167,0.003401649,0,0
41,1842670,0.057948508,209,0.000113422
42,664596,0.020900295,0,0
43,6331504,0.1991139,774,0.000122246
44,6212671,0.195376826,70,1.12673E-05
45,5000119,0.157244344,0,0
46,3150111,0.09906507,0,0
47,2636417,0.082910359,0,0
48,5021039,0.157902239,0,0
49,2355669,0.074081362,1941,0.00082397
50,2319328,0.072938506,140,6.03623E-05
51,61829,0.001944406,1282,0.020734607
52,6405041,0.201426501,1643,0.000256517
53,2685521,0.084454588,511,0.00019028
54,19014,0.000597955,0,0
55,14827,0.000466281,0,0
56,582642,0.018322996,0,0
57,211411,0.006648479,792,0.003746257
58,111975,0.003521403,0,0
59,666603,0.020963411,752,0.001128108
60,1295994,0.040756575,0,0
61,550594,0.017315146,0,0
62,424228,0.013341173,534,0.001258757
63,761633,0.023951926,0,0
64,284276,0.008939946,138,0.000485444
65,991539,0.031182038,125,0.000126067
66,3208307,0.100895225,8101,0.002525008
67,1741241,0.054758757,0,0
68,1816790,0.057134631,10508,0.005783828
69,30242,0.000951054,0,0
70,3937595,0.123829962,0,0
71,3073954,0.096670076,0,0
72,1961133,0.061673947,0,0
73,7863567,0.247294402,0,0
74,338421,0.010642704,26171,0.077332671
75,758454,0.023851953,387,0.000510248
76,68528,0.002155077,3912,0.057086155
77,57076,0.001794933,0,0
78,4874782,0.153302731,141402,0.029006836
79,2636502,0.082913032,121364,0.046032205
80,995053,0.031292547,20152,0.020252188
81,7751,0.000243754,0,0
82,10559,0.000332061,108,0.010228241
83,17228,0.000541788,2605,0.151207337
84,733695,0.023073329,0,0
85,459581,0.014452959,0,0
86,42484,0.001336042,0,0
87,258174,0.008119087,0,0
88,799577,0.025145194,0,0
89,1041452,0.032751708,0,0
90,1080618,0.033983405,0,0
91,32060,0.001008227,0,0
92,14461,0.000454771,0,0
93,12558,0.000394925,0,0
94,496,1.55983E-05,0,0
95,5136,0.000161518,0,0
96,6561,0.000206331,0,0
97,812109,0.025539302,0,0
98,1070902,0.033677855,115,0.000107386
99,1305539,0.041056748,77,5.89795E-05
100,1251138,0.039345938,75,5.99454E-05
101,739458,0.023254564,0,0
102,2589279,0.081427958,0,0
103,1166349,0.036679484,0,0
104,622893,0.019588814,0,0
105,1111613,0.034958139,0,0
106,472900,0.014871816,0,0
107,1126851,0.035437346,0,0
108,244043,0.007674694,0,0
109,567211,0.01783772,0,0
110,363239,0.011423184,0,0
111,871291,0.027400464,0,0
112,636328,0.02001132,0,0
113,186062,0.0058513,0,0
114,56061,0.001763013,0,0
115,2080299,0.065421493,0,0
116,2488590,0.078261478,0,0
117,3450799,0.108521142,0,0
118,2328736,0.07323437,0,0
119,1295110,0.040728775,0,0
120,903833,0.028423849,0,0
121,586078,0.018431052,0,0
122,39711,0.001248836,0,0
123,32546,0.001023511,0,0
124,353931,0.011130465,0,0
125,558480,0.017563146,227,0.00040646
126,893256,0.028091222,0,0
127,377950,0.011885817,0,0
128,760483,0.023915761,0,0
129,713493,0.022438014,0,0
130,21502,0.000676197,0,0
131,413449,0.013002194,0,0
132,772287,0.024286975,0,0
133,480129,0.015099155,0,0
134,30331,0.000953853,0,0
135,556378,0.017497042,0,0
136,29494,0.000927531,0,0
137,441116,0.013872269,1302,0.002951605
138,250238,0.007869515,188,0.000751285
139,1022216,0.032146772,72,7.04352E-05
140,27245,0.000856804,0,0
141,433040,0.013618294,0,0
142,182271,0.00573208,75,0.000411475
143,311871,0.009807757,0,0
144,21486,0.000675694,0,0
145,618821,0.019460757,0,0
146,321958,0.010124974,0,0
147,196873,0.006191286,0,0
148,455136,0.014313172,54,0.000118646
149,960240,0.030197743,20190,0.021025994
150,361938,0.01138227,4583,0.01266239
151,246654,0.007756805,0,0
152,20870,0.000656322,0,0
153,4720,0.000148435,0,0
154,838397,0.02636601,0,0
155,921933,0.02899306,330,0.000357944
156,2573607,0.080935103,0,0
157,2595763,0.081631867,0,0
158,2047650,0.064394744,0,0
159,1048281,0.032966467,0,0
160,1077832,0.033895791,0,0
161,42042,0.001322142,97,0.002307217
162,678137,0.021326134,39208,0.057817226
163,838507,0.026369469,16854,0.020100011
164,760793,0.02392551,29919,0.039326072
165,173532,0.005457255,982,0.005658899
166,585347,0.018408063,0,0
167,714363,0.022465374,0,0
168,3081123,0.096895527,631,0.000204795
169,413574,0.013006125,0,0
170,12017,0.000377912,64,0.005325788
171,27255,0.000857119,1470,0.053935058
172,2812111,0.088435605,65016,0.023119998
173,3857246,0.121303137,22036,0.005712884
174,3508180,0.110325667,75137,0.021417658
175,18332,0.000576507,0,0
176,31780,0.000999421,310,0.009754563
177,15890,0.000499711,16,0.001006923
178,1705486,0.053634329,0,0
179,926614,0.029140269,0,0
180,695315,0.02186635,0,0
181,56425,0.00177446,0,0
182,20075,0.000631321,0,0
183,3295,0.000103622,0,0
184,3989,0.000125447,0,0
185,2714,8.53502E-05,0,0
186,31828,0.001000931,0,0
187,4726,0.000148624,0,0
188,5102,0.000160448,0,0
189,901964,0.028365072,0,0
190,1298954,0.040849662,0,0
191,1038394,0.03265554,0,0
192,13523,0.000425273,0,0
193,14881,0.000467979,0,0
194,56483,0.001776284,0,0
195,108850,0.003423128,0,0
196,278627,0.008762295,0,0
197,151770,0.004772881,0,0
198,303347,0.009539693,0,0
199,308911,0.00971467,0,0
200,271718,0.00854502,0,0
201,97712,0.003072859,0,0
202,372650,0.011719142,0,0
203,64464,0.002027272,0,0
204,47038,0.001479257,66,0.001403121
205,549248,0.017272817,170,0.000309514
206,656255,0.020637986,79,0.00012038
207,1454806,0.045750914,16403,0.011275043
208,124267,0.003907964,8653,0.069632324
209,1180362,0.037120166,48220,0.040851874
210,2274080,0.071515542,34643,0.015233853
211,825178,0.025950297,0,0
212,677576,0.021308492,0,0
213,854447,0.026870752,0,0
214,743223,0.023372966,0,0
215,43673,0.001373434,0,0
216,1605147,0.050478856,935,0.000582501
217,2686995,0.084500942,350,0.000130257
218,4390882,0.138084986,797,0.000181513
219,1228556,0.038635777,212,0.00017256
220,516194,0.016233331,35,6.7804E-05
221,352347,0.011080651,266,0.000754938
222,520094,0.016355979,0,0
223,1948515,0.061277134,2246,0.001152673
224,2257308,0.070988094,216,9.56892E-05
225,1381431,0.043443408,0,0
226,2275453,0.07155872,120,5.27368E-05
227,235557,0.007407825,0,0
228,651334,0.02048323,0,0
229,54731,0.001721187,0,0
230,261702,0.008230036,0,0
231,13158,0.000413794,0,0
232,12092,0.000380271,0,0
233,29629,0.000931776,0,0
234,3308250,0.104038244,0,0
235,4049102,0.127336647,0,0
236,185764,0.005841929,2452,0.013199544
237,533789,0.016786661,0,0
238,877353,0.027591103,5010,0.005710358
239,33379,0.001049707,0,0
240,525962,0.016540516,0,0
241,49178,0.001546556,0,0
242,22233,0.000699186,0,0
243,5162170,0.162340544,0,0
244,3006145,0.09453761,0,0
245,5313156,0.16708877,0,0
246,2934148,0.09227344,0,0
247,3287015,0.103370443,0,0
248,86064,0.002706551,0,0
249,2475998,0.077865483,0,0
250,388015,0.012202342,0,0
251,338473,0.01064434,0,0
252,286872,0.009021585,0,0
253,175893,0.005531504,0,0
254,610237,0.019190807,831,0.001361766
255,602823,0.01895765,25478,0.042264479
256,61640,0.001938462,0,0
257,1738350,0.05466784,0,0
258,1791232,0.05633088,0,0
259,607618,0.019108444,0,0
260,150160,0.00472225,0,0
261,682163,0.021452744,0,0
262,155906,0.004902951,0,0
263,2406638,0.075684242,0,0
264,2407778,0.075720092,0,0
