system:index,VHI_M,VHI_class,adm4_id,month,season,year,ym,.geo
VHI_M_2024-01_00000000000000000017,46.38461859711353,1.740304263981144,24,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_00000000000000000018,232.36864019944863,4.65902206836867,25,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_00000000000000000019,29.988136196938996,1.5907556478836666,26,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_0000000000000000001a,13.539423956832193,1.6529415774763108,27,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_0000000000000000005b,160.1571375047012,3.520738933426279,92,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_0000000000000000005c,60.1237372420855,2.096457874724835,93,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_0000000000000000005d,254.0,5.0,94,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_0000000000000000005e,35.17373949829977,1.834404349975284,95,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_0000000000000000005f,81.65552267542168,2.6429669485011535,96,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_000000000000000000b6,0.39647014674147285,1.7182235834609496,183,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_000000000000000000b7,0.38669512120701716,1.6622390891840608,184,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_000000000000000000b8,0.29136616484604805,1.1942379182156133,185,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_000000000000000000b9,39.192911358190045,2.088246933122279,186,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_000000000000000000ba,0.4477786757469177,2.0063999999999997,187,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_000000000000000000bb,0.3214455455836684,1.1811881188118811,188,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_000000000000000001a0,34.275335296348956,3.9640557939914163,417,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_000000000000000001a1,0.4248174690412601,1.9119022476995018,418,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_000000000000000001a2,19.572116746988694,2.5920605902324367,419,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_000000000000000001a3,0.38171741654454966,1.614838900384274,420,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_000000000000000001cb,41.26856274185358,2.185516860143726,460,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_000000000000000001cc,79.77921025234411,2.3982905982905987,461,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2024-01_0000000000000000021b,0.38316603079725886,1.9356499356499355,540,1,Dry,2024,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
