system:index,VHI_M,VHI_class,adm4_id,month,season,year,ym,.geo
VHI_M_2020-01_00000000000000000017,46.42461109717895,2.011999142918363,24,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000018,232.3739982696644,4.65902206836867,25,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000019,30.0239113219154,1.7324071669696184,26,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000001a,13.623340717694928,2.1118003953916418,27,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000005b,160.198326069054,3.7788428023701615,92,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000005c,60.12626175476249,1.9719831899139484,93,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000005d,254.0,5.0,94,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000005e,35.186339586693286,1.834404349975284,95,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000005f,81.71097039963357,2.857417371252882,96,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000b6,0.4736562086922469,2.2312404287901995,183,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000b7,0.4119228222828587,1.903225806451613,184,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000b8,0.3718587347344394,1.825278810408922,185,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000b9,39.22434388497777,2.1567867036011075,186,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000ba,0.532032002878189,2.607466666666667,187,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000bb,0.3875346495668487,1.684158415841584,188,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001a0,34.24169796267165,3.5278969957081543,417,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001a1,0.4984047312976765,2.4676421783074374,418,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001a2,19.61107862261109,2.969443718986681,419,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001a3,0.4103975864449373,2.0313331362695832,420,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001cb,41.24886511359312,1.861028192371476,460,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001cc,79.81082906284904,2.817777777777778,461,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000021b,0.3940090014667584,2.0,540,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000021c,0.4235978340325148,2.0,541,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000021d,24.804458580511973,2.140027014858173,542,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000bf,0.4399505951549471,2.279455630126771,192,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000000c0,0.4332932635026587,2.091093802912293,193,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000010a,0.4106721594720856,1.9602638087386643,267,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_0000000000000000010b,56.47193680266971,2.685329808963115,268,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000226,2.862331944696057,1.7124557765035988,551,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_00000000000000000227,0.4831222792207105,2.2902523933855528,552,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001a4,0.2994154222374459,1.5659203980099503,421,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001a5,0.3786063542575884,1.8459657701711496,422,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001a6,0.3140620456752608,1.0,423,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001a7,0.3064816202968359,1.008823529411765,424,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001a8,0.3331762603694981,1.0,425,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001a9,0.2830312507692725,1.11875,426,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001aa,0.2513131824272333,1.040623523854511,427,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001fe,0.4420861332122563,2.1519492293744333,511,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2020-01_000000000000000001ff,61.76740512089105,2.595542305508233,512,1,Dry,2020,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
