system:index,VHI_M,adm4_id,month,season,year,ym,.geo
VHI_M_2023-01_00000000000000000017,0.375,24,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_00000000000000000018,0.38499999046325684,25,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_00000000000000000019,0.4000000059604645,26,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_0000000000000000001a,0.4350000023841858,27,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_0000000000000000005b,0.3400000035762787,92,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_0000000000000000005c,0.2549999952316284,93,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_0000000000000000005d,,94,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_0000000000000000005e,0.30000001192092896,95,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_0000000000000000005f,0.3700000047683716,96,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000000b6,0.47999998927116394,183,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000000b7,0.4749999940395355,184,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000000b8,0.23000000417232513,185,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000000b9,0.36000001430511475,186,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000000ba,0.5899999737739563,187,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000000bb,0.4000000059604645,188,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000001a0,0.7099999785423279,417,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000001a1,0.550000011920929,418,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000001a2,0.5550000071525574,419,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000001a3,0.38499999046325684,420,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000001cb,0.3449999988079071,460,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000001cc,0.375,461,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_0000000000000000021b,0.3700000047683716,540,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_0000000000000000021c,0.4000000059604645,541,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_0000000000000000021d,0.39500001072883606,542,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000000bf,0.5550000071525574,192,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000000c0,0.5249999761581421,193,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_0000000000000000010a,0.4699999988079071,267,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_0000000000000000010b,0.44999998807907104,268,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_00000000000000000226,0.39500001072883606,551,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_00000000000000000227,0.47999998927116394,552,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000001a4,0.3100000023841858,421,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000001a5,0.375,422,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000001a6,0.3050000071525574,423,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000001a7,0.3149999976158142,424,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000001a8,0.3499999940395355,425,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000001a9,0.3499999940395355,426,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000001aa,0.23999999463558197,427,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000001fe,0.5249999761581421,511,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_000000000000000001ff,0.45500001311302185,512,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_00000000000000000200,0.4399999976158142,513,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_00000000000000000201,0.32499998807907104,514,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_00000000000000000202,0.4300000071525574,515,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_00000000000000000002,0.5,3,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_0000000000000000000d,0.574999988079071,14,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
VHI_M_2023-01_00000000000000000027,0.49000000953674316,40,1,Dry,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
