VHI_M,fid,month,season,year
0.349999994,24,1,Dry,2021
0.444999993,25,1,Dry,2021
0.400000006,26,1,Dry,2021
0.400000006,27,1,Dry,2021
0.449999988,92,1,Dry,2021
0.300000012,93,1,Dry,2021
,94,1,Dry,2021
0.310000002,95,1,Dry,2021
0.405000001,96,1,Dry,2021
0.435000002,183,1,Dry,2021
0.785000026,184,1,Dry,2021
0.264999986,185,1,Dry,2021
0.38499999,186,1,Dry,2021
0.474999994,187,1,Dry,2021
0.419999987,188,1,Dry,2021
0.704999983,417,1,Dry,2021
0.524999976,418,1,Dry,2021
0.689999998,419,1,Dry,2021
0.524999976,420,1,Dry,2021
0.370000005,460,1,Dry,2021
0.395000011,461,1,Dry,2021
0.38499999,540,1,Dry,2021
0.395000011,541,1,Dry,2021
0.444999993,542,1,Dry,2021
0.465000004,192,1,Dry,2021
0.479999989,193,1,Dry,2021
0.460000008,267,1,Dry,2021
0.430000007,268,1,Dry,2021
0.419999987,551,1,Dry,2021
0.430000007,552,1,Dry,2021
0.395000011,421,1,Dry,2021
0.395000011,422,1,Dry,2021
0.349999994,423,1,Dry,2021
0.400000006,424,1,Dry,2021
0.310000002,425,1,Dry,2021
0.310000002,426,1,Dry,2021
0.275000006,427,1,Dry,2021
0.5,511,1,Dry,2021
0.430000007,512,1,Dry,2021
0.425000012,513,1,Dry,2021
0.430000007,514,1,Dry,2021
0.354999989,515,1,Dry,2021
0.444999993,3,1,Dry,2021
0.529999971,14,1,Dry,2021
0.435000002,40,1,Dry,2021
0.425000012,113,1,Dry,2021
0.430000007,114,1,Dry,2021
0.405000001,433,1,Dry,2021
0.49000001,434,1,Dry,2021
0.419999987,435,1,Dry,2021
0.460000008,462,1,Dry,2021
0.444999993,463,1,Dry,2021
0.460000008,464,1,Dry,2021
0.485000014,29,1,Dry,2021
0.474999994,30,1,Dry,2021
0.414999992,31,1,Dry,2021
0.455000013,39,1,Dry,2021
0.479999989,250,1,Dry,2021
0.5,251,1,Dry,2021
0.5,252,1,Dry,2021
0.465000004,253,1,Dry,2021
0.460000008,356,1,Dry,2021
0.449999988,357,1,Dry,2021
0.49000001,358,1,Dry,2021
0.449999988,359,1,Dry,2021
0.485000014,330,1,Dry,2021
0.400000006,331,1,Dry,2021
