fid,COMMUNE,REGION,month,season,year,VHI_M,precip_sum,LST,NDVI
1,TAMBACOUNDA,TAMBACOUNDA,1,Dry,2021,0.426167399,0.093818009,40.74393959,0.219029378
1,TAMBACOUNDA,TAMBACOUNDA,2,Dry,2021,0.469169133,0.170707434,41.6931001,0.200720586
1,TAMBACOUNDA,TAMBACOUNDA,3,Dry,2021,0.62622793,0,45.32492833,0.190112091
1,TAMBACOUNDA,TAMBACOUNDA,4,Dry,2021,0.683216122,0.499312788,46.49436999,0.19769878
1,TAMBACOUNDA,TAMBACOUNDA,5,Dry,2021,0.517569619,0.769149899,41.91604028,0.187309761
1,TAMBACOUNDA,TAMBACOUNDA,6,Wet,2021,0.779313012,84.36058044,39.36044462,0.265248517
1,TAMBACOUNDA,TAMBACOUNDA,7,Wet,2021,0.616908992,207.7719421,32.82122409,0.419628867
1,TAMBACOUNDA,TAMBACOUNDA,8,Wet,2021,0.462556581,333.1681824,32.55634195,0.548589743
1,TAMBACOUNDA,TAMBACOUNDA,9,Wet,2021,0.252636765,239.3530273,34.77481422,0.500520908
1,TAMBACOUNDA,TAMBACOUNDA,10,Wet,2021,0.681979599,96.56076813,37.41618993,0.395743429
1,TAMBACOUNDA,TAMBACOUNDA,11,Dry,2021,0.615964963,2.276304007,40.21397078,0.330937826
1,TAMBACOUNDA,TAMBACOUNDA,12,Dry,2021,0.38774835,0,40.30677828,0.229026885
2,BAKEL,TAMBACOUNDA,1,Dry,2021,0.513133154,0,38.60435181,0.246440206
2,BAKEL,TAMBACOUNDA,2,Dry,2021,0.531535305,0.33645463,39.08858831,0.227445513
2,BAKEL,TAMBACOUNDA,3,Dry,2021,0.716354657,0.001682282,43.30524853,0.206214887
2,BAKEL,TAMBACOUNDA,4,Dry,2021,0.78590896,0,49.23803896,0.205231475
2,BAKEL,TAMBACOUNDA,5,Dry,2021,0.855288349,0,43.28358974,0.190112384
2,BAKEL,TAMBACOUNDA,6,Wet,2021,0.55521434,41.72878265,41.20406675,0.214028789
2,BAKEL,TAMBACOUNDA,7,Wet,2021,0.381856273,110.6820374,38.91291076,0.311728048
2,BAKEL,TAMBACOUNDA,8,Wet,2021,0.630527601,293.2470398,29.97555663,0.431613834
2,BAKEL,TAMBACOUNDA,9,Wet,2021,0.739075448,109.5069427,36.8171666,0.429315535
2,BAKEL,TAMBACOUNDA,10,Wet,2021,0.731059859,25.14812088,40.44856754,0.303871297
2,BAKEL,TAMBACOUNDA,11,Dry,2021,0.48516702,0.537876427,40.31832975,0.283929262
2,BAKEL,TAMBACOUNDA,12,Dry,2021,0.526191753,0,38.00049921,0.247816155
3,BARGNY,DAKAR,1,Dry,2021,18.57658986,0,34.70458499,0.209411326
3,BARGNY,DAKAR,2,Dry,2021,18.70784579,0,32.62041384,0.181809397
3,BARGNY,DAKAR,3,Dry,2021,18.60574172,0,34.92626529,0.173806854
3,BARGNY,DAKAR,4,Dry,2021,18.64330736,0,33.78895098,0.162469069
3,BARGNY,DAKAR,5,Dry,2021,18.68959842,0,32.71750214,0.150386423
3,BARGNY,DAKAR,6,Wet,2021,18.74759381,0,33.95629101,0.177337353
3,BARGNY,DAKAR,7,Wet,2021,18.59723941,0,31.96486807,0.208228109
3,BARGNY,DAKAR,8,Wet,2021,18.57173103,0,33.0739124,0.351381693
3,BARGNY,DAKAR,9,Wet,2021,18.61222734,0,32.99625049,0.405292484
3,BARGNY,DAKAR,10,Wet,2021,18.6464143,0,35.53264204,0.316679246
3,BARGNY,DAKAR,11,Dry,2021,18.63377405,0,35.91065155,0.29338004
3,BARGNY,DAKAR,12,Dry,2021,18.48730195,0,35.02304809,0.219691984
4,KANEL,MATAM,1,Dry,2021,0.760649692,0.217018723,40.11676719,0.237124948
4,KANEL,MATAM,2,Dry,2021,0.785274614,0.144490898,42.37350806,0.23304791
4,KANEL,MATAM,3,Dry,2021,0.826681044,0,44.91512366,0.206040953
4,KANEL,MATAM,4,Dry,2021,0.801582781,0,47.65893011,0.18859919
4,KANEL,MATAM,5,Dry,2021,0.97036349,0,44.28405138,0.174946103
4,KANEL,MATAM,6,Wet,2021,0.859562017,18.98681068,40.50427318,0.187164485
4,KANEL,MATAM,7,Wet,2021,0.65608728,61.6489563,39.64749082,0.264442951
4,KANEL,MATAM,8,Wet,2021,0.684774312,336.8909607,34.59553135,0.326005581
4,KANEL,MATAM,9,Wet,2021,0.660567408,70.69742584,39.27494814,0.213307276
4,KANEL,MATAM,10,Wet,2021,0.600400638,8.326639175,42.79416786,0.163688204
4,KANEL,MATAM,11,Dry,2021,0.59856281,0.237580895,42.60896761,0.215164138
4,KANEL,MATAM,12,Dry,2021,0.642552626,0,38.92906335,0.214952441
5,KEDOUGOU,KEDOUGOU,1,Dry,2021,0.505709507,0,40.98517467,0.311853539
5,KEDOUGOU,KEDOUGOU,2,Dry,2021,0.490162178,0,42.24712733,0.261742433
5,KEDOUGOU,KEDOUGOU,3,Dry,2021,0.594335203,0,45.92248862,0.239086917
5,KEDOUGOU,KEDOUGOU,4,Dry,2021,0.653707285,0,46.88883022,0.237647135
5,KEDOUGOU,KEDOUGOU,5,Dry,2021,0.640604852,38.18878555,42.9179967,0.264199155
5,KEDOUGOU,KEDOUGOU,6,Wet,2021,0.574970385,123.9924088,40.51423248,0.462125176
5,KEDOUGOU,KEDOUGOU,7,Wet,2021,0.678083918,176.2825928,33.16936106,0.599976559
5,KEDOUGOU,KEDOUGOU,8,Wet,2021,0.351700648,452.7455444,34.00519743,0.651982493
5,KEDOUGOU,KEDOUGOU,9,Wet,2021,0.418032946,264.2693787,34.57080508,0.64389866
5,KEDOUGOU,KEDOUGOU,10,Wet,2021,0.697291263,169.7448425,33.58383364,0.560766241
5,KEDOUGOU,KEDOUGOU,11,Dry,2021,0.695508602,4.026390076,37.22754495,0.52959971
5,KEDOUGOU,KEDOUGOU,12,Dry,2021,0.518083349,0.025207773,37.8755206,0.369861905
6,KOLDA,KOLDA,1,Dry,2021,0.573473192,0,37.28912144,0.356205267
6,KOLDA,KOLDA,2,Dry,2021,0.516476046,0,37.64754534,0.324922362
6,KOLDA,KOLDA,3,Dry,2021,0.682584148,0,41.93299976,0.286666957
6,KOLDA,KOLDA,4,Dry,2021,0.709667483,0,44.40331859,0.285085154
6,KOLDA,KOLDA,5,Dry,2021,0.811629703,0,43.34185818,0.29666381
6,KOLDA,KOLDA,6,Wet,2021,0.755052122,0,41.34110211,0.349521389
6,KOLDA,KOLDA,7,Wet,2021,0.474692185,0,35.50403246,0.52901948
6,KOLDA,KOLDA,8,Wet,2021,0.570801476,0,33.65482357,0.581151424
6,KOLDA,KOLDA,9,Wet,2021,0.425845769,0,32.92070196,0.604842172
6,KOLDA,KOLDA,10,Wet,2021,0.544116927,0,33.76120555,0.559471394
6,KOLDA,KOLDA,11,Dry,2021,0.555563333,0,34.46254687,0.522226772
6,KOLDA,KOLDA,12,Dry,2021,0.479270065,0,36.01470244,0.403529269
7,LINGUERE,LOUGA,1,Dry,2021,0.652711714,0,40.07772275,0.23911573
7,LINGUERE,LOUGA,2,Dry,2021,0.618614805,0,42.37068113,0.21851846
7,LINGUERE,LOUGA,3,Dry,2021,0.740475439,0,43.58252534,0.202041197
7,LINGUERE,LOUGA,4,Dry,2021,0.719365638,0,47.10350702,0.197165494
7,LINGUERE,LOUGA,5,Dry,2021,0.775506782,0,41.07986573,0.192670514
7,LINGUERE,LOUGA,6,Wet,2021,0.519082019,0,42.46146452,0.21256974
7,LINGUERE,LOUGA,7,Wet,2021,0.572212046,0,43.10762404,0.314827459
7,LINGUERE,LOUGA,8,Wet,2021,0.586980665,0,31.55546239,0.463294998
7,LINGUERE,LOUGA,9,Wet,2021,0.616685928,0,35.9761035,0.448298453
7,LINGUERE,LOUGA,10,Wet,2021,0.651800176,0,40.41387693,0.306780108
7,LINGUERE,LOUGA,11,Dry,2021,0.538656366,0,43.32338876,0.268301138
7,LINGUERE,LOUGA,12,Dry,2021,0.485366528,0,39.95522941,0.236174991
8,MATAM,MATAM,1,Dry,2021,0.626627088,1.241589308,38.25378636,0.296960368
8,MATAM,MATAM,2,Dry,2021,0.603833961,0.775493562,39.69482533,0.272665345
8,MATAM,MATAM,3,Dry,2021,0.715821532,0.002174909,43.50389505,0.232107811
8,MATAM,MATAM,4,Dry,2021,0.707723031,0,48.63090047,0.214218712
8,MATAM,MATAM,5,Dry,2021,0.740301398,0,43.15956949,0.191587638
8,MATAM,MATAM,6,Wet,2021,0.782702792,45.44699097,41.57984533,0.20762405
8,MATAM,MATAM,7,Wet,2021,0.410643703,315.291687,38.65785368,0.266231454
8,MATAM,MATAM,8,Wet,2021,0.623890204,1387.604614,32.53119817,0.339311833
8,MATAM,MATAM,9,Wet,2021,0.605403952,257.4070129,36.1507546,0.292076147
8,MATAM,MATAM,10,Wet,2021,0.572561322,14.07370186,40.04557539,0.25197138
8,MATAM,MATAM,11,Dry,2021,0.545153396,0.465170741,40.81167296,0.266550918
8,MATAM,MATAM,12,Dry,2021,0.427921808,0.338474244,38.09363368,0.258930704
9,MBACKE,DIOURBEL,1,Dry,2021,0.388740497,0,40.35074275,0.211704341
9,MBACKE,DIOURBEL,2,Dry,2021,0.484222285,0,40.44105042,0.196411452
9,MBACKE,DIOURBEL,3,Dry,2021,0.501186196,0,42.02248852,0.18457471
9,MBACKE,DIOURBEL,4,Dry,2021,0.554516484,0,45.22034718,0.178867672
9,MBACKE,DIOURBEL,5,Dry,2021,0.591624047,0,40.03582449,0.173584172
9,MBACKE,DIOURBEL,6,Wet,2021,0.711793869,0,39.8940318,0.202651524
9,MBACKE,DIOURBEL,7,Wet,2021,0.498457399,0,39.12565312,0.2593839
9,MBACKE,DIOURBEL,8,Wet,2021,0.53580684,0,31.95355277,0.405271174
9,MBACKE,DIOURBEL,9,Wet,2021,0.44808915,0,37.38222776,0.391959129
9,MBACKE,DIOURBEL,10,Wet,2021,0.229814395,0,39.86186627,0.302657282
9,MBACKE,DIOURBEL,11,Dry,2021,0.334690989,0,42.31682404,0.267665514
9,MBACKE,DIOURBEL,12,Dry,2021,0.341576414,0,39.64983209,0.218241153
10,MEDINA YORO FOULAH,KOLDA,1,Dry,2021,0.521860096,0,37.61728353,0.390333089
