fid,2021-01_lst,2021-02_lst,2021-03_lst,2021-04_lst,2021-05_lst,2021-06_lst,2021-07_lst,2021-08_lst,2021-09_lst,2021-10_lst,2021-11_lst,2021-12_lst,2022-01_lst,2022-02_lst,2022-03_lst,2022-04_lst,2022-05_lst,2022-06_lst,2022-07_lst,2022-08_lst,2022-09_lst,2022-10_lst,2022-11_lst,2022-12_lst,2023-01_lst,2023-02_lst,2023-03_lst,2023-04_lst,2023-05_lst,2023-06_lst,2023-07_lst,2023-08_lst,2023-09_lst,2023-10_lst,2023-11_lst,2023-12_lst,2024-01_lst,2024-02_lst,2024-03_lst,2024-04_lst,2024-05_lst,2024-06_lst,2024-07_lst,2024-08_lst,2024-09_lst,2024-10_lst,2024-11_lst,2024-12_lst
1,40.74393959,41.6931001,45.32492833,46.49436999,41.91604028,39.36044462,32.82122409,32.55634195,34.77481422,37.41618993,40.21397078,40.30677828,43.66344087,39.46489121,42.67948272,47.53485291,46.96700217,35.77682606,27.24973115,32.99523101,33.58731807,34.37270444,38.79673485,38.84955262,38.42085528,39.94344126,44.75085726,48.15310839,45.81094373,43.44275538,34.90157275,36.38093425,34.93161027,36.80687581,38.90641224,38.51335637,38.06844738,41.36006792,45.16240039,43.12501125,45.38399289,39.40391076,32.11891451,26.41393195,28.84824442,35.17116762,37.11231787,36.69251925
2,38.60435181,39.08858831,43.30524853,49.23803896,43.28358974,41.20406675,38.91291076,29.97555663,36.8171666,40.44856754,40.31832975,38.00049921,41.12800244,36.92455164,42.07844363,46.10088598,46.96227116,37.57525355,35.85347658,28.46781074,32.30791362,35.17442344,39.00507879,38.23259275,37.78502722,40.08368214,43.23221601,49.08713365,45.15164661,45.97239149,36.65790646,34.59250466,33.12930239,36.38678914,38.18017261,36.62856897,35.54056797,39.53270233,43.54461825,45.34556869,43.29851167,43.25130927,34.71605716,26.49467569,29.54556797,35.92899585,36.05248317,33.06272597
3,34.70458499,32.62041384,34.92626529,33.78895098,32.71750214,33.95629101,31.96486807,33.0739124,32.99625049,35.53264204,35.91065155,35.02304809,33.84414387,33.61202323,31.83784039,34.6470883,34.14475177,35.27440807,32.52655797,32.48588587,33.4442296,34.30193516,34.11428961,34.26121035,30.476556,32.15756137,36.12078326,34.7920731,34.45110981,35.50409555,31.00365755,30.87601044,33.02523965,34.79058452,35.19298963,33.56902891,31.50881069,33.82992518,32.82530356,33.27101473,32.1607817,32.58868911,30.42618892,32.76265368,30.63229545,32.77711246,33.58076767,32.19026966
4,40.11676719,42.37350806,44.91512366,47.65893011,44.28405138,40.50427318,39.64749082,34.59553135,39.27494814,42.79416786,42.60896761,38.92906335,38.39194511,38.43483485,42.22921573,48.4066531,48.37311313,37.03969284,39.95821605,35.25084331,32.99742301,35.04350008,37.99162438,37.70310037,38.15278602,41.89637945,43.6810667,50.3955162,47.970146,49.14867002,37.84096139,36.5127206,36.62623424,41.06504069,41.18574198,37.20150551,36.68970321,40.50651428,44.91891734,46.0044112,43.63052258,43.81962103,35.3420209,33.24706393,32.47527445,36.14620153,36.20588798,35.26743099
5,40.98517467,42.24712733,45.92248862,46.88883022,42.9179967,40.51423248,33.16936106,34.00519743,34.57080508,33.58383364,37.22754495,37.8755206,39.54945266,39.09983273,42.36565316,46.29904301,46.63856111,33.26298703,31.98262127,33.11666724,32.80830337,31.86050353,36.00511208,36.17325159,39.11984354,43.48735947,45.9006122,47.66785617,42.67070096,42.13373521,31.93037153,27.87060604,31.23159479,31.8175091,35.88862767,37.12968594,37.00171655,40.60607476,45.03796711,41.77916875,40.15605883,39.83303425,31.60137346,30.16782901,29.8028317,32.67833807,34.51362711,34.18796029
6,37.28912144,37.64754534,41.93299976,44.40331859,43.34185818,41.34110211,35.50403246,33.65482357,32.92070196,33.76120555,34.46254687,36.01470244,37.48566981,38.48147096,41.50884174,44.05315969,42.72530981,38.8309575,28.366,,31.54459117,31.86621015,33.07210351,34.24067542,36.69123107,39.73066079,42.21530266,45.61183062,43.02887645,40.66736296,34.91099289,24.72938936,30.58610262,33.43912722,34.20600191,36.73687468,35.17704822,38.8045517,40.99891694,42.09115826,40.93555854,37.69251319,,27.78244161,28.07016945,32.85209262,32.57731566,32.04848515
7,40.07772275,42.37068113,43.58252534,47.10350702,41.07986573,42.46146452,43.10762404,31.55546239,35.9761035,40.41387693,43.32338876,39.95522941,39.11470567,39.08544105,40.89394362,46.49695714,46.39534412,38.59289614,40.79931887,34.92434377,34.5770016,41.52108572,41.92107416,40.22608572,36.35548284,40.70129379,44.20968344,46.51537524,44.77533167,43.96004535,33.20693758,39.24755913,36.432825,42.28403166,41.63103148,38.39576205,36.09356304,40.8576356,41.57956518,41.99202472,43.55896319,38.48265517,31.62086431,22.03714674,33.81982305,38.59936333,38.92303841,34.80216166
8,38.25378636,39.69482533,43.50389505,48.63090047,43.15956949,41.57984533,38.65785368,32.53119817,36.1507546,40.04557539,40.81167296,38.09363368,37.79704203,37.50299316,41.72099356,48.30433578,47.46304424,39.3017422,38.64725544,32.17826518,30.14429946,34.13736442,37.02578852,36.34519284,36.48909867,41.78263814,43.08704742,49.63560377,46.97882567,49.4136439,36.47642705,35.77731788,35.20520703,40.69521242,39.68863127,37.41932287,36.27162812,40.81870477,44.12220961,45.80301076,44.60103669,42.88396969,35.75773959,33.42515838,29.85027443,32.41411755,32.14212163,32.96905128
9,40.35074275,40.44105042,42.02248852,45.22034718,40.03582449,39.8940318,39.12565312,31.95355277,37.38222776,39.86186627,42.31682404,39.64983209,40.09877377,38.16863302,38.83074473,45.01135414,43.4397111,40.20950911,37.65198528,34.72114167,35.55822164,38.50106227,39.88432565,39.66814016,37.27084646,38.63809521,43.83611388,44.0947548,43.08520865,40.56989432,36.53127809,35.1012292,34.7702568,37.00253494,39.33981876,38.94529458,35.93795792,39.56927996,40.16676527,42.00502395,41.63668477,38.1830841,34.95036644,39.30690168,36.17068448,36.08126969,36.62559287,33.13622055
10,37.61728353,38.80636644,42.45039975,44.73593114,41.63079354,40.41787719,35.76185631,32.81052604,31.40493698,31.58680597,34.62483605,36.94577328,37.52542076,38.88554705,42.20127259,45.43521069,43.71732927,39.05029484,27.52962927,26.27532116,30.60346476,30.34683431,32.78551374,34.99066526,36.43436047,41.27486762,43.6680629,47.40023493,43.87824612,42.05527334,35.19066874,28.71372397,30.44544761,33.34355774,36.68727732,38.07232045,36.0095207,39.99774593,41.47212306,43.33551398,41.5421059,37.15976259,26.53873676,27.63206545,29.57915749,31.54886538,33.28709782,33.83259988
