fid,2021-01_ndvi,2021-02_ndvi,2021-03_ndvi,2021-04_ndvi,2021-05_ndvi,2021-06_ndvi,2021-07_ndvi,2021-08_ndvi,2021-09_ndvi,2021-10_ndvi,2021-11_ndvi,2021-12_ndvi,2022-01_ndvi,2022-02_ndvi,2022-03_ndvi,2022-04_ndvi,2022-05_ndvi,2022-06_ndvi,2022-07_ndvi,2022-08_ndvi,2022-09_ndvi,2022-10_ndvi,2022-11_ndvi,2022-12_ndvi,2023-01_ndvi,2023-02_ndvi,2023-03_ndvi,2023-04_ndvi,2023-05_ndvi,2023-06_ndvi,2023-07_ndvi,2023-08_ndvi,2023-09_ndvi,2023-10_ndvi,2023-11_ndvi,2023-12_ndvi,2024-01_ndvi,2024-02_ndvi,2024-03_ndvi,2024-04_ndvi,2024-05_ndvi,2024-06_ndvi,2024-07_ndvi,2024-08_ndvi,2024-09_ndvi,2024-10_ndvi,2024-11_ndvi,2024-12_ndvi
1,0.219029378,0.200720586,0.190112091,0.19769878,0.187309761,0.265248517,0.419628867,0.548589743,0.500520908,0.395743429,0.330937826,0.229026885,0.213109499,0.197166634,0.18809151,0.194838851,0.221950711,0.377112843,0.448577481,0.50901324,0.554117522,0.413187183,0.350387127,0.240230195,0.23063447,0.207983163,0.199831125,0.197614861,0.192595925,0.290144166,0.352968387,0.533183814,0.535443042,0.365792657,0.316305046,0.225454053,0.209240501,0.191659441,0.187145019,0.185744193,0.192702908,0.166488039,0.338362687,0.483194312,0.564741599,0.391804689,0.27001583,0.223949135
2,0.246440206,0.227445513,0.206214887,0.205231475,0.190112384,0.214028789,0.311728048,0.431613834,0.429315535,0.303871297,0.283929262,0.247816155,0.236456765,0.222349402,0.205430776,0.198783595,0.212379566,0.349885375,0.417147508,0.540301153,0.470898908,0.333651268,0.327111667,0.270776354,0.259180812,0.23368377,0.217724205,0.22345405,0.213170456,0.277236875,0.382521225,0.471884862,0.480763082,0.332133598,0.284680393,0.261589636,0.237534239,0.218553065,0.207032198,0.197953216,0.187760418,0.178431518,0.361157757,0.456464325,0.476432495,0.312828284,0.261719893,0.255441799
3,0.209411326,0.181809397,0.173806854,0.162469069,0.150386423,0.177337353,0.208228109,0.351381693,0.405292484,0.316679246,0.29338004,0.219691984,0.211839904,0.186337428,0.171339905,0.158167631,0.166026743,0.156595349,0.253948308,0.35281337,0.406821972,0.316119715,0.29225789,0.245438384,0.222442668,0.198096007,0.182900083,0.170302764,0.16964155,0.174261644,0.207638031,0.415043812,0.431526528,0.348080288,0.293380418,0.22546972,0.221703817,0.194895906,0.172348624,0.16929735,0.161303933,0.14727153,0.24301714,0.342022591,0.389135894,0.334482447,0.265162183,0.238857477
4,0.237124948,0.23304791,0.206040953,0.18859919,0.174946103,0.187164485,0.264442951,0.326005581,0.213307276,0.163688204,0.215164138,0.214952441,0.225224609,0.207741619,0.185549721,0.178710807,0.185398815,0.232911345,0.246483054,0.350628594,0.341330816,0.316897406,0.302603443,0.253462502,0.251256251,0.235372914,0.219986174,0.200326205,0.193001037,0.236571354,0.308978363,0.260799805,0.259738783,0.197577557,0.210044212,0.218047327,0.229978303,0.210601735,0.18905225,0.185503997,0.179335858,0.170106714,0.301430621,0.285795265,0.277402487,0.225373247,0.175475178,0.212840095
5,0.311853539,0.261742433,0.239086917,0.237647135,0.264199155,0.462125176,0.599976559,0.651982493,0.64389866,0.560766241,0.52959971,0.369861905,0.298277762,0.250086354,0.24759971,0.25324709,0.313126272,0.472778277,0.62970159,0.640595921,0.653845531,0.553617194,0.501167999,0.344477264,0.313631876,0.249411143,0.254220403,0.257776323,0.263712844,0.502937642,0.536389469,0.652329444,0.643457607,0.56152236,0.48198593,0.362937847,0.284891429,0.254131589,0.22470734,0.234424394,0.259570793,0.449034883,0.53497302,0.67642411,0.622825495,0.566397738,0.431304381,0.346654432
6,0.356205267,0.324922362,0.286666957,0.285085154,0.29666381,0.349521389,0.52901948,0.581151424,0.604842172,0.559471394,0.522226772,0.403529269,0.343299323,0.305705975,0.283960764,0.279218714,0.298898299,0.441508894,0.513426445,0.590724264,0.613520474,0.590062595,0.519736786,0.425217598,0.377964728,0.305629596,0.308009126,0.302762911,0.303101708,0.486638235,0.557689397,0.599248899,0.615795342,0.557055555,0.520492626,0.390994379,0.335016203,0.309388499,0.289344411,0.268944241,0.31107939,0.340137235,0.457111865,0.537218847,0.628297652,0.55859181,0.475941529,0.40269313
7,0.23911573,0.21851846,0.202041197,0.197165494,0.192670514,0.21256974,0.314827459,0.463294998,0.448298453,0.306780108,0.268301138,0.236174991,0.225502116,0.207893878,0.200210453,0.190473448,0.184130384,0.183560866,0.279936866,0.460559568,0.489577205,0.293841699,0.267443144,0.240003321,0.223478797,0.209727788,0.198359381,0.187956451,0.181713774,0.228610386,0.377228481,0.484446617,0.510079757,0.27502091,0.242696132,0.221088525,0.219832203,0.2009122,0.193207087,0.179498537,0.179310399,0.176590148,0.418205442,0.384028037,0.47431898,0.381251516,0.240690036,0.229949333
8,0.296960368,0.272665345,0.232107811,0.214218712,0.191587638,0.20762405,0.266231454,0.339311833,0.292076147,0.25197138,0.266550918,0.258930704,0.253834538,0.229708158,0.213457969,0.194460212,0.192944094,0.215899204,0.257790419,0.290263171,0.181027596,0.279243306,0.317019904,0.314039169,0.310770044,0.280898869,0.246956316,0.218266446,0.210939626,0.222972011,0.272925976,0.328183879,0.317152346,0.24949825,0.246446309,0.246137605,0.243375154,0.219283096,0.207290493,0.197100037,0.188301097,0.180910415,0.246712569,0.267907452,0.10177539,0.178784323,0.233532304,0.269632877
9,0.211704341,0.196411452,0.18457471,0.178867672,0.173584172,0.202651524,0.2593839,0.405271174,0.391959129,0.302657282,0.267665514,0.218241153,0.204676493,0.187310168,0.179147296,0.170101605,0.166271307,0.206782123,0.392797417,0.406922134,0.404555143,0.291205887,0.266356516,0.228212376,0.207418505,0.198568813,0.189594592,0.181326777,0.174693817,0.188793106,0.316815927,0.442189427,0.454341716,0.344389382,0.256295254,0.207853459,0.204689165,0.186895071,0.1812964,0.175644239,0.170253771,0.162014692,0.310416727,0.336729117,0.442822144,0.401050496,0.259809215,0.231728727
10,0.390333089,0.318679709,0.286178745,0.300329067,0.306447644,0.3992214,0.600232905,0.704890896,0.78491061,0.691004505,0.635158762,0.433483254,0.352512699,0.297645725,0.258227346,0.275035162,0.317132892,0.521007063,0.54174528,0.669975908,0.747132477,0.720177149,0.620798812,0.482288544,0.391628418,0.283304201,0.288031528,0.300360306,0.307552701,0.467601415,0.633594484,0.706908343,0.81010036,0.679861136,0.598649347,0.40497195,0.321173755,0.276370001,0.263862742,0.258256728,0.292887908,0.348922153,0.534440793,0.736629576,0.810807257,0.712869337,0.555025947,0.448650764
