fid,2021-01_vhi,2021-02_vhi,2021-03_vhi,2021-04_vhi,2021-05_vhi,2021-06_vhi,2021-07_vhi,2021-08_vhi,2021-09_vhi,2021-10_vhi,2021-11_vhi,2021-12_vhi,2022-01_vhi,2022-02_vhi,2022-03_vhi,2022-04_vhi,2022-05_vhi,2022-06_vhi,2022-07_vhi,2022-08_vhi,2022-09_vhi,2022-10_vhi,2022-11_vhi,2022-12_vhi,2023-01_vhi,2023-02_vhi,2023-03_vhi,2023-04_vhi,2023-05_vhi,2023-06_vhi,2023-07_vhi,2023-08_vhi,2023-09_vhi,2023-10_vhi,2023-11_vhi,2023-12_vhi,2024-01_vhi,2024-02_vhi,2024-03_vhi,2024-04_vhi,2024-05_vhi,2024-06_vhi,2024-07_vhi,2024-08_vhi,2024-09_vhi,2024-10_vhi,2024-11_vhi,2024-12_vhi
1,0.426167399,0.469169133,0.62622793,0.683216122,0.517569619,0.779313012,0.616908992,0.462556581,0.252636765,0.681979599,0.615964963,0.38774835,0.382243257,0.53979678,0.663367895,0.612859149,0.628936488,1.079619339,0.728847117,0.586810544,0.468740272,0.720314713,0.652439073,0.408122705,0.454987359,0.48990135,0.537842066,0.608511768,245.2744963,0.857586796,0.554945001,0.513708873,0.559335131,0.779566295,0.613767135,0.361371509,0.304783251,0.344848422,0.506358768,0.623337775,0.496958367,0.558426057,0.354691215,0.341922128,0.269202217,0.722537718,0.625113858,0.547267152
2,0.513133154,0.531535305,0.716354657,0.78590896,0.855288349,0.55521434,0.381856273,0.630527601,0.739075448,0.731059859,0.48516702,0.526191753,0.423423653,0.592782972,0.827762193,0.767368456,0.768796959,0.9109681,0.952229396,0.965441218,0.972550188,0.919158246,0.66899838,0.584388348,0.554790319,0.602315771,0.710772044,0.778204481,26.20020861,0.845389425,0.850194982,0.760065412,0.870406991,0.796108426,0.501686917,0.525628493,0.373425087,0.475217742,0.728348207,0.781328141,0.707408782,0.477923474,0.649671144,0.643222576,0.904191217,0.929232258,0.602529745,0.676206449
3,18.57658986,18.70784579,18.60574172,18.64330736,18.68959842,18.74759381,18.59723941,18.57173103,18.61222734,18.6464143,18.63377405,18.48730195,18.5915767,18.63045022,18.67567003,18.6964399,18.63605588,18.78058189,18.63147978,18.70378648,18.69953369,18.65819033,18.63726794,18.49273535,18.61800563,18.70980286,18.61612866,18.65984091,18.70313255,18.72535915,18.60333553,18.67777485,18.70085034,18.5883988,18.56927547,18.49275547,18.56702473,18.59726757,18.58438081,18.58613269,18.67544401,18.79111514,18.65144137,18.66991077,18.66341928,18.66677126,18.65516165,18.51611769
4,0.760649692,0.785274614,0.826681044,0.801582781,0.97036349,0.859562017,0.65608728,0.684774312,0.660567408,0.600400638,0.59856281,0.642552626,0.685217496,0.711490913,0.847471933,0.780867986,0.851920912,1.139624323,0.923156979,0.820657881,0.916389852,0.889002399,0.909462752,0.729345516,0.807850215,0.77187977,0.831382072,0.841808471,0.871956458,1.079317354,1.084117834,0.79132634,0.676114441,0.560763532,0.534543438,0.551599361,0.591807467,0.6105011,0.711982422,0.75721729,0.835429994,0.887699014,0.960435593,0.755291791,0.726739566,0.66661454,0.688320953,0.737295187
5,0.505709507,0.490162178,0.594335203,0.653707285,0.640604852,0.574970385,0.678083918,0.351700648,0.418032946,0.697291263,0.695508602,0.518083349,0.477943387,0.628867896,0.632322872,0.581855423,0.651344549,0.829077766,0.73784685,0.610507607,0.617177781,0.571224087,0.736838332,0.541942845,0.500381878,0.584959989,0.649158787,0.591661922,108.76098,0.788829308,0.819433736,0.404157079,0.501042118,0.512155711,0.572346081,0.492884155,0.421239322,0.51027466,0.532894836,0.563513927,0.577550829,0.394698998,0.688948345,0.645953837,0.761827514,0.717607502,0.601212694,0.577811114
6,0.573473192,0.516476046,0.682584148,0.709667483,0.811629703,0.755052122,0.474692185,0.570801476,0.425845769,0.544116927,0.555563333,0.479270065,0.512257256,0.568728535,0.694200397,0.84246014,0.722529303,0.906470088,9.528362973,56.7318428,0.530480371,0.57844695,0.647319093,0.561942458,0.663049542,0.600842196,0.770327405,2.985382432,89.35153124,0.938083434,0.572230005,0.484263082,0.453149532,0.515696716,0.449117437,0.420600813,0.428133519,0.424183702,0.648124837,0.679576516,0.811769727,0.667116207,0.584420487,0.596794765,0.637501362,0.518059589,0.513964974,0.602562685
7,0.652711714,0.618614805,0.740475439,0.719365638,0.775506782,0.519082019,0.572212046,0.586980665,0.616685928,0.651800176,0.538656366,0.485366528,0.622695707,0.553255167,0.718213606,0.727833526,0.710156704,0.62897422,0.62564304,0.565510557,0.664303624,0.527491881,0.449082463,0.43348255,0.638537678,0.563684373,0.525446541,0.669144263,0.624793066,0.608724162,0.905933319,0.77588064,0.670776179,0.361818407,0.36301956,0.377103133,0.495899532,0.427140476,0.484510114,0.585189146,0.637328076,0.516045787,0.925502988,0.622092911,0.574224494,0.589257167,0.48193554,0.588086245
8,0.626627088,0.603833961,0.715821532,0.707723031,0.740301398,0.782702792,0.410643703,0.623890204,0.605403952,0.572561322,0.545153396,0.427921808,0.500085856,0.558762306,0.745591366,0.655902633,0.666068816,0.956811305,0.584685819,0.606497904,0.769419289,0.837642066,0.752744337,0.569724807,0.663506213,0.611554009,0.64495881,0.714680137,0.710422061,0.986181312,0.693919038,0.531890774,0.629139762,0.51838726,0.452447553,0.36962943,0.402483062,0.370903133,0.543428733,0.657620765,0.649379663,0.803014984,0.717683759,0.608846953,0.754427311,0.547885592,0.690941836,0.573673034
9,0.388740497,0.484222285,0.501186196,0.554516484,0.591624047,0.711793869,0.498457399,0.53580684,0.44808915,0.229814395,0.334690989,0.341576414,0.453969299,0.394038652,0.523389274,0.561579871,0.521908875,0.939955819,0.779280035,0.934541176,0.563658803,0.459754665,0.467294893,0.423887111,0.469665564,0.519008539,0.380823624,0.561657864,0.564432578,0.85908085,0.661902705,0.737715472,0.424327177,0.276645031,0.212312173,0.265348256,0.368187382,0.317789021,0.316345148,0.465717491,0.456882954,0.680733788,0.732123604,0.648087666,0.545291244,0.533996692,0.620234232,0.605814496
10,0.521860096,0.473102477,0.605647675,0.580136899,0.673378139,0.656002662,0.431881605,0.239202992,0.417440753,0.721033125,0.604444209,0.410830453,0.473536787,0.493256038,0.624074676,0.479567676,0.502916219,0.960931666,0.775466891,6.832590954,0.657313434,0.824667394,0.686747073,0.487766769,0.591808123,0.557533013,0.451487454,0.515391539,134.4656668,0.78765784,0.541690252,0.362893468,0.476795567,0.76207296,0.435706738,0.294476913,0.286793199,0.285902941,0.432750606,0.431050529,0.621747319,0.504935218,0.524032027,0.35307438,0.66385062,0.739707308,0.568829729,0.539907369
11,0.501012084,0.535533857,0.664301883,0.67186032,0.776337176,0.648738225,0.569393075,0.812740975,0.654075132,0.890035713,0.675040375,0.334723664,0.508810466,0.590970614,0.715657467,0.71251669,0.76323211,0.932631508,0.796101498,0.861033928,0.725233346,0.635176763,0.620491828,0.480897956,0.602452963,0.64080511,0.682946435,0.801040516,0.89835586,0.712920067,0.581939154,0.717556932,0.796656505,0.981938605,0.574736023,0.384304214,0.461446093,0.448438537,0.572515861,0.637392807,0.798814172,0.585038461,0.44559731,0.412750443,0.856685485,0.898045053,0.80964936,0.533497049
12,0.635936967,0.590538028,0.648506069,0.685616441,0.787653506,0.660367106,0.364467377,0.609236964,0.518153088,0.454572217,0.506095289,0.482910655,0.573426162,0.618447785,0.801160176,0.660131886,0.682099856,0.989810742,0.512325759,0.664333688,0.891061349,0.88802752,0.836613191,0.678113733,0.73806327,0.5716919,0.590544039,0.702310439,0.697702776,1.041490339,0.772997787,0.613208665,0.637659814,0.504698689,0.441970681,0.43679614,0.415591808,0.342229633,0.500086216,0.669400084,0.685003595,0.689896362,0.592531838,0.4922831,0.784363738,0.632794996,0.757363918,0.671590966
