fid,AEZclass,AEZclassname
1,2,Tropics lowland; semi-arid with soil/terrain limitations
2,50,Land with severe soil/terrain limitations
3,2,Tropics lowland; semi-arid with soil/terrain limitations
4,53,Desert/Arid climate
5,50,Land with severe soil/terrain limitations
6,2,Tropics lowland; semi-arid with soil/terrain limitations
7,53,Desert/Arid climate
8,53,Desert/Arid climate
9,2,Tropics lowland; semi-arid with soil/terrain limitations
10,52,Dominantly hydromorphic soils
11,2,Tropics lowland; semi-arid with soil/terrain limitations
12,53,Desert/Arid climate
13,50,Land with severe soil/terrain limitations
14,2,Tropics lowland; semi-arid with soil/terrain limitations
15,2,Tropics lowland; semi-arid with soil/terrain limitations
16,50,Land with severe soil/terrain limitations
17,2,Tropics lowland; semi-arid with soil/terrain limitations
18,2,Tropics lowland; semi-arid with soil/terrain limitations
19,53,Desert/Arid climate
20,53,Desert/Arid climate
21,52,Dominantly hydromorphic soils
22,53,Desert/Arid climate
23,53,Desert/Arid climate
24,56,Dominantly built-up land
25,56,Dominantly built-up land
26,56,Dominantly built-up land
27,56,Dominantly built-up land
28,52,Dominantly hydromorphic soils
29,2,Tropics lowland; semi-arid with soil/terrain limitations
30,2,Tropics lowland; semi-arid with soil/terrain limitations
31,2,Tropics lowland; semi-arid with soil/terrain limitations
32,2,Tropics lowland; semi-arid with soil/terrain limitations
33,50,Land with severe soil/terrain limitations
34,2,Tropics lowland; semi-arid with soil/terrain limitations
35,2,Tropics lowland; semi-arid with soil/terrain limitations
36,2,Tropics lowland; semi-arid with soil/terrain limitations
37,2,Tropics lowland; semi-arid with soil/terrain limitations
38,2,Tropics lowland; semi-arid with soil/terrain limitations
39,2,Tropics lowland; semi-arid with soil/terrain limitations
40,2,Tropics lowland; semi-arid with soil/terrain limitations
41,50,Land with severe soil/terrain limitations
42,50,Land with severe soil/terrain limitations
43,50,Land with severe soil/terrain limitations
44,50,Land with severe soil/terrain limitations
45,53,Desert/Arid climate
46,2,Tropics lowland; semi-arid with soil/terrain limitations
47,53,Desert/Arid climate
48,2,Tropics lowland; semi-arid with soil/terrain limitations
49,2,Tropics lowland; semi-arid with soil/terrain limitations
50,50,Land with severe soil/terrain limitations
51,2,Tropics lowland; semi-arid with soil/terrain limitations
52,2,Tropics lowland; semi-arid with soil/terrain limitations
53,2,Tropics lowland; semi-arid with soil/terrain limitations
54,2,Tropics lowland; semi-arid with soil/terrain limitations
55,2,Tropics lowland; semi-arid with soil/terrain limitations
56,50,Land with severe soil/terrain limitations
57,50,Land with severe soil/terrain limitations
58,50,Land with severe soil/terrain limitations
59,50,Land with severe soil/terrain limitations
60,50,Land with severe soil/terrain limitations
61,2,Tropics lowland; semi-arid with soil/terrain limitations
62,2,Tropics lowland; semi-arid with soil/terrain limitations
63,2,Tropics lowland; semi-arid with soil/terrain limitations
64,2,Tropics lowland; semi-arid with soil/terrain limitations
65,50,Land with severe soil/terrain limitations
66,50,Land with severe soil/terrain limitations
67,50,Land with severe soil/terrain limitations
68,50,Land with severe soil/terrain limitations
69,2,Tropics lowland; semi-arid with soil/terrain limitations
70,2,Tropics lowland; semi-arid with soil/terrain limitations
71,50,Land with severe soil/terrain limitations
72,2,Tropics lowland; semi-arid with soil/terrain limitations
73,2,Tropics lowland; semi-arid with soil/terrain limitations
74,2,Tropics lowland; semi-arid with soil/terrain limitations
75,2,Tropics lowland; semi-arid with soil/terrain limitations
76,53,Desert/Arid climate
77,53,Desert/Arid climate
78,53,Desert/Arid climate
79,53,Desert/Arid climate
80,53,Desert/Arid climate
81,53,Desert/Arid climate
82,53,Desert/Arid climate
83,52,Dominantly hydromorphic soils
84,53,Desert/Arid climate
85,53,Desert/Arid climate
86,2,Tropics lowland; semi-arid with soil/terrain limitations
87,53,Desert/Arid climate
88,53,Desert/Arid climate
89,2,Tropics lowland; semi-arid with soil/terrain limitations
90,2,Tropics lowland; semi-arid with soil/terrain limitations
91,53,Desert/Arid climate
92,56,Dominantly built-up land
93,56,Dominantly built-up land
94,56,Dominantly built-up land
95,56,Dominantly built-up land
96,56,Dominantly built-up land
97,50,Land with severe soil/terrain limitations
98,2,Tropics lowland; semi-arid with soil/terrain limitations
99,50,Land with severe soil/terrain limitations
100,50,Land with severe soil/terrain limitations
101,50,Land with severe soil/terrain limitations
102,2,Tropics lowland; semi-arid with soil/terrain limitations
