precip_max,NDVI,LST,month,season,year,fid,COMMUNE,DEPARTEMEN,REGION
84.36058044,0.24757912,36.67,6,Wet,2021,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
96.56076813,0.405126056,35.76596838,10,Wet,2021,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
0.499312788,0.189875,45.97,4,Dry,2021,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
0,0.18585,42.8,3,Dry,2021,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
207.7719421,0.395683333,32.42157337,7,Wet,2021,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
2.276304007,0.300221339,38.41,11,Dry,2021,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
0.769149899,0.181331211,40.68,5,Dry,2021,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
333.1681824,0.515882692,32.23129568,8,Wet,2021,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
0.170707434,0.192662569,39.6,2,Dry,2021,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
0.093818009,0.211277152,38.13,1,Dry,2021,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
0,0.218336486,38.31,12,Dry,2021,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
239.3530273,0.491375,31.67,9,Wet,2021,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
147.2067413,0.333283725,34.05517504,6,Wet,2022,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
118.6704559,0.418443713,34.43,10,Wet,2022,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
145.770401,0.4207,27.25,7,Wet,2022,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
0.255276591,0.30154794,36.9,11,Dry,2022,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
0,0.183225,41.87,3,Dry,2022,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
42.12435532,0.204501874,41.65,5,Dry,2022,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
0.499313086,0.188309588,43.53,4,Dry,2022,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
237.8233948,0.477564184,33.23,8,Wet,2022,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
0,0.1956,37.29,2,Dry,2022,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
253.8221283,0.510335314,32.02333333,9,Wet,2022,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
0.124184728,0.231543421,36.385,12,Dry,2022,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
0,0.212316667,38.75333333,1,Dry,2022,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
27.41537094,0.185798503,43.62,5,Dry,2023,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
152.0487976,0.251500507,37.29,6,Wet,2023,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
83.38352966,0.37355,32.35,10,Wet,2023,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
202.5157013,0.497643387,34.17,9,Wet,2023,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
0.499313354,0.191962422,46.97,4,Dry,2023,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
0,0.291775,35.94530697,11,Dry,2023,1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA
