fid,COMMUNE,REGION,LZCODE,LZNAME,DEM,aug_22,nov_dec_24,oct_24,recur,AEZclass,AEZclassname,popsum2021,popmean2021,popsum2022,popmean2022,popsum2023,popmean2023,popsum2024,popmean2024,Rainfed_percentage_scaled,Wetland_percentage_scaled,Bare_percentage_scaled,Impervious_percentage_scaled,Water_percentage_scaled,Irrigated_percentage_scaled,Shrubland_percentage_scaled,Forest_percentage_scaled,Grassland_percentage_scaled,Dry_LST_2021_scaled,Dry_LST_2022_scaled,Dry_LST_2023_scaled,Dry_LST_2024_scaled,Wet_LST_2021_scaled,Wet_LST_2022_scaled,Wet_LST_2023_scaled,Wet_LST_2024_scaled,Dry_NDVI_2021_scaled,Dry_NDVI_2022_scaled,Dry_NDVI_2023_scaled,Dry_NDVI_2024_scaled,Wet_NDVI_2021_scaled,Wet_NDVI_2022_scaled,Wet_NDVI_2023_scaled,Wet_NDVI_2024_scaled,Dry_VHI_M_2021_scaled,Dry_VHI_M_2022_scaled,Dry_VHI_M_2023_scaled,Dry_VHI_M_2024_scaled,Wet_VHI_M_2021_scaled,Wet_VHI_M_2022_scaled,Wet_VHI_M_2023_scaled,Wet_VHI_M_2024_scaled,Dry_precip_log_2021_scaled,Dry_precip_log_2022_scaled,Dry_precip_log_2023_scaled,Dry_precip_log_2024_scaled,Wet_precip_log_2021_scaled,Wet_precip_log_2022_scaled,Wet_precip_log_2023_scaled,Wet_precip_log_2024_scaled
1,TAMBACOUNDA,TAMBACOUNDA,14,Rainfed Maize and Lumber,50,0,0,0,0,2,Tropics lowland; semi-arid with soil/terrain limitations,140566.5406,30.04200484,141713.7292,30.28718298,152955.1393,32.68970704,147418.3056,31.50637009,0.0031683,0,0.018896447,0.358363197,0,0,0.505804661,0.002190964,0.178928982,0.899959383,0.925444908,0.737430535,0.891245866,0.448381653,0.590512631,0.6869038,0.690424467,0.175619502,0.193858034,0.163974096,0.15223651,0.411898125,0.492031981,0.365964282,0.36976437,0.396551666,0.651303805,0.287431187,0.39644219,0.764705914,0.590448578,0.455940671,0,0.464361411,0.241221636,0.036038805,0.824793273,0.940413478,0.839591862,0.896804273,0.894627486
2,BAKEL,TAMBACOUNDA,3,Valley Rice and Remittances,28,0,0,0.05667924,1,50,Land with severe soil/terrain limitations,20265.94275,21.33257132,21103.19406,22.21388848,22388.75314,23.51759784,21160.40981,22.22732123,0.0073927,0.10511883,0.018896447,0.059379948,0.060175055,0,0.153529065,0.004381929,0.790269672,0.937630014,0.80738305,0.769262991,0.762695295,0.82688495,0.440900878,0.672756669,0.662023245,0.203643872,0.175585923,0.198990221,0.181407662,0.247006768,0.413312082,0.34081479,0.277954856,0.465517323,0.711946559,0.637956961,0.841168957,0.85294113,1,1,0.57838877,0,0.041645811,0.002626391,0,0.828406334,0.853438817,0.852329627,0.855038139
3,BARGNY,DAKAR,1,The Niayes Gardening and Fishing,5,0.003143281,0,0,1,2,Tropics lowland; semi-arid with soil/terrain limitations,71495.15214,53.91791262,75394.3317,56.85847036,79156.28451,59.69553884,77983.80598,58.76699772,0.0063366,0.02285192,1,0.403158597,0.076586433,0.112107623,0.157735341,0.005477411,0.373833766,0.314862353,0.294083655,0.299165823,0.246588561,0.378174344,0.471758302,0.36960388,0.45392598,0.10788301,0.099208056,0.102144791,0.096267205,0.226380985,0.281084094,0.294304282,0.257792815,0.362068938,0.30260761,0.324987488,0.30114358,0.397058827,0.276893347,0.282673362,0.301013101,0,0,0,0,0,0,0,0
4,KANEL,MATAM,4,Dieri Millet and Remittances,15,0.122824015,0.076626529,0.121163602,3,53,Desert/Arid climate,14971.09266,16.87834573,15289.27511,17.12124872,15662.57912,17.51966345,15458.18972,17.29103996,0.019009801,1,0.170068027,0.06875573,0,0,0.017876672,0,0.699740127,1,0.717488235,0.90246589,0.88743696,1,0.798098939,0.908205335,0.841783499,0.205789689,0.170772386,0.178215678,0.190704498,0.099665315,0.407539809,0.207747221,0.207863413,0.758620707,0.590661052,0.662994494,0.571156318,0.264705826,0.614568332,0.468316897,0.409551352,0,0.093009695,0.091925893,0,0.728483121,0.826512741,0.769550746,0.80896959
5,KEDOUGOU,KEDOUGOU,15,Rainfed Maize and Artisanal Gold Mining,115,0,0,0.000757644,1,50,Land with severe soil/terrain limitations,42552.96872,15.5643631,43414.46093,15.7698732,47194.37977,17.13666658,45869.18707,16.65547824,0.0010561,0.063985375,0,0.211475956,0,0,0.551022125,0.27496604,0.005325267,1,0.936831585,0.771536738,0.970280661,0.479692581,0.450251613,0.302910267,0.31793935,0.318982682,0.383804961,0.318705828,0.29867855,0.787278082,0.814759455,0.764845932,0.741842966,0.655172528,0.696785871,0.537806677,0.666454829,0.661764654,0.602508382,0.344554491,0.771345945,0,0,0.173151296,0.085009793,0.911627068,0.893802446,0.926860992,0.916507512
6,KOLDA,KOLDA,12,"Forest, Rainfed Rice, and Groundnut",13,0,0,0,0,2,Tropics lowland; semi-arid with soil/terrain limitations,86007.60322,29.61694326,86688.11281,29.85127852,91426.96642,31.48311516,86291.51124,29.67383468,0.010561,0.004570384,0,0.426077173,0,0,0.345966182,0.226764822,0.045797299,0.650692018,0.74445668,0.611237583,0.807449938,0.526390969,0.382926324,0.487833468,0.543761129,0.460644115,0.410745667,0.408373529,0.397525672,0.642081316,0.685327447,0.669268112,0.571526046,0.586206868,0.787750182,0.76314478,0.729987361,0.397058827,0.349252323,0.332178266,0.481910329,0,0,0,0,0,0,0,0
7,LINGUERE,LOUGA,6,Sylvopatoral Livestock and Gathering,40,0,0,0,0,53,Desert/Arid climate,14031.16449,15.13609977,13997.40124,15.06717033,15319.04294,16.48982017,14345.38216,15.44174614,0.016897601,0,0,0.114592883,0,0.224215247,0.041011189,0,0.877604056,0.888738344,0.975486355,0.888350484,0.909338168,0.92535764,0.972957676,0.987025061,0.829958574,0.221338039,0.19120566,0.172133013,0.156333152,0.251409195,0.273153722,0.292450341,0.323392797,0.844827523,0.666464493,0.487731609,0.39644219,0.661764654,0.361312131,0.616831755,0.373371935,0,0,0,0,0,0,0,0
8,MATAM,MATAM,3,Valley Rice and Remittances,16,0.001801608,0.002837736,0.168068933,3,53,Desert/Arid climate,24305.37715,19.03318493,24895.29313,19.41910541,24722.83818,19.25454687,24224.6327,18.70628008,0.0010561,0.863802559,0.056689342,0.035419618,0,0.112107623,0.205055943,0.006572893,0.607080475,0.87030378,0.729174561,0.806884262,0.835064505,0.857981721,0.690725633,0.688924818,0.713285987,0.300182882,0.218806321,0.259287118,0.201088927,0.169576139,0.133526259,0.146272506,0.03006439,0.862068886,0.696785871,0.713069562,0.714104086,0.691176568,0.891944001,0.505445575,0.73516653,0.565396075,0.199194761,0.403222664,0.026272214,0.742336215,0.822627454,0.78030035,0.809156545
9,MBACKE,DIOURBEL,8,Rainfed Groundnut and Millet,43,0,0,0,0,2,Tropics lowland; semi-arid with soil/terrain limitations,83236.40922,38.09446646,84861.7223,38.83831684,87128.41753,39.87570596,85232.16301,39.00785492,0.170032105,0,0.018896447,0.454204517,0,0,0.038908051,0,0.386614408,0.815801591,0.784010399,0.819285423,0.77221756,0.770034738,0.880385403,0.714187551,0.832323559,0.17076113,0.14461119,0.139937085,0.129322018,0.234751347,0.337286037,0.315194414,0.306635796,0.22413793,0.135839949,0.262393579,0.253494231,0.382352959,0.795465557,0.554950478,0.530149548,0,0,0,0,0,0,0,0
10,MEDINA YORO FOULAH,KOLDA,10,Rainfed Groundnut and Cereals,45,0,0,0,0,52,Dominantly hydromorphic soils,6708.527581,7.244630217,7774.276053,8.252946978,8670.935655,9.204814921,7930.052618,8.418314881,0.047524502,0,0,0.012501042,0,0,0.527887608,0.357127207,0.121416095,0.753284374,0.714791391,0.620616789,0.799832127,0.278686472,0.171599722,0.349393694,0.17722275,0.442201517,0.434370551,0.403857906,0.384104825,0.865883203,0.730054842,0.828166647,0.873385822,0.586206868,0.272286235,0.412619006,0.237611146,0.235294089,0.771345945,0.381683169,0.264833542,0.11369568,0.019428753,0.015848738,0.020308799,0.951221874,0.870944537,0.904328659,0.935400021
11,NGANDA,KAFFRINE,10,Rainfed Groundnut and Cereals,48,0,0,0,0,2,Tropics lowland; semi-arid with soil/terrain limitations,12082.20586,6.129987754,12498.12043,6.29945586,13297.36954,6.698926723,12788.45451,6.442546354,0.863889828,0,0,0.031252604,0,0,0.088331791,0,0.071358582,0.9073915,0.872107318,0.797116391,0.795070995,0.583241182,0.556849987,0.371624899,0.417268714,0.254930618,0.224254199,0.239944319,0.22191599,0.761421124,0.563699044,0.686796975,0.607441967,0.896551818,0.62098243,0.662994494,0.618805572,0.882353044,0.771345945,0.752970386,0.397491545,0,0.156108668,0,0.041065655,0.88201384,0.876165171,0.902504816,0.892657366
12,OUROSSOGUI,MATAM,4,Dieri Millet and Remittances,17,0,0,0,0,53,Desert/Arid climate,31881.326,24.88784231,32101.28488,24.8269798,32873.6418,25.22919555,32177.78944,24.56319804,0.0010561,0.009140768,0.15117158,0.205225435,0,0,0.113569446,0.001095482,0.701870234,0.960072092,0.868511525,0.861918177,0.880771375,0.948706834,0.795293719,0.70004042,1,0.138938892,0.127270634,0.153970253,0.11088507,0.189401948,0.360916502,0.242164569,0.140245604,0.77586207,0.80291087,0.587881893,0.952350743,0.308823524,1,0.554950478,0.674867359,0,0,0,0,0,0,0,0
13,SALEMATA,KEDOUGOU,15,Rainfed Maize and Artisanal Gold Mining,74,0,0,0,0,50,Land with severe soil/terrain limitations,7381.087723,3.949217615,8201.248927,4.334698164,8595.677896,4.528808165,8398.330677,4.420174041,0.0010561,0,0,0.011459288,0,0,0.431143266,0.627711319,0.004260214,0.730842296,0.755244058,0.618058824,0.692230538,0,0.091183405,0.179628133,0.243442326,0.613383485,0.604892945,0.681672952,0.497621993,0.949560593,1,0.942497665,0.994418522,0.517241414,0.514857428,0.425137772,0.253494231,0.750000046,0.626628137,0.604455527,0.228654125,0,0,0.006514063,0.03456236,0.916169894,0.891313996,0.978516574,0.921774576
14,SENDOU,DAKAR,1,The Niayes Gardening and Fishing,4,0,0,0,0,2,Tropics lowland; semi-arid with soil/terrain limitations,13111.88741,13.83110486,13059.94457,13.77631284,14150.19925,14.92637052,15516.94375,16.28220751,0.125675904,0.004570384,0.15117158,0.064588716,0,0,0.487927989,0.00985934,0.352532697,0.468750887,0.470277493,0.480781356,0.438938303,0.607605559,0.620434982,0.533306386,0.68214702,0.213092463,0.241638879,0.26943127,0.274578826,0.434811275,0.526132579,0.663991117,0.562392619,0.655172528,0.605821739,0.56284436,0.539390145,0.544117697,0.40955135,0.394059394,0.481910329,0,0,0,0,0,0,0,0
15,TIVAOUANE,THIES,1,The Niayes Gardening and Fishing,55,0,0,0,0,2,Tropics lowland; semi-arid with soil/terrain limitations,89900.30947,16.18076124,91229.10291,16.20698222,95683.46739,16.95012708,89927.53815,15.92765465,0.330559311,0,0,0.163555296,0,0,0.136703962,0,0.422826226,0.68595814,0.747744606,0.735725225,0.714466552,0.680698689,0.719552769,0.537348424,0.744819119,0.297799702,0.343036005,0.340637122,0.312172684,0.376515713,0.423088138,0.503951496,0.527070647,0.500000052,0.530018119,0.637956961,0.682337913,0.897058913,0.662807554,0.975742599,0.795465557,0.299311095,0.266017652,0.153694676,0.157342536,0.638087107,0.873503448,0.882060069,0.782153577
16,VELINGARA,KOLDA,13,"Rainfed Maize, Cotton, and Cattle",45,0,0,0,0,50,Land with severe soil/terrain limitations,37851.67023,24.88604223,37511.01085,24.66207157,41587.95125,27.30659964,39970.41307,26.19293124,0.062309902,0,0,0.340653388,0,0.112107623,0.401699335,0.079970203,0.167213394,0.774924949,0.879298903,0.676039369,0.947427226,0.444161198,0.407238234,0.440339531,0.501225677,0.320992336,0.27174102,0.303064878,0.269398921,0.74840977,0.787922959,0.693185932,0.520721638,0.758620707,0.363250364,0.625438194,0.666454829,0.294117652,0.276893347,0.592079302,0.011577413,0,0,0,0,0,0,0,0
