fid,region,departemen,com_arrt_v,commune,arrondisse,shape_leng,shape_area,superficie,censusname,geo1_sn2013,geo2_sn2013,geo3_sn2013,cell,chsurv,yrschool,migrated,emp_cat1,emp_cat2,emp_cat3,empd_cat1,empd_cat2,empd_cat3,empd_cat4,empd_cat5,empd_cat6,empd_cat7,empd_cat8,z_chsurv,z_yrschool,z_migrated,z_emp_cat1,kmg3,kmg4,kmg5,kmg6,kmg7,_merge
94,DAKAR,DAKAR,GOREE,GOREE,,.023513973,.000015630425,.18628646,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
16,KOLDA,VELINGARA,VELINGARA,VELINGARA,,.14918777,.0012654483,15.17838,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
21,MATAM,MATAM,AGNAM CIVOL,NGUIDJILONE,AGNAM CIVOL,.41348371,.0049021454,58.076939,"agnam-civol, thilogne",matam,matam,"agnam-civol, thilogne",.81722885,3.7432332,1.4237689,.21718241,.1689534,.15342879,.67761779,.22887526,.13028415,.0048412448,.11347149,.13510561,.23102623,.0026524297,.021825368,-.38104439,-.49769223,-.98616368,-1.5425292,1,1,1,4,7,Matched (3)
23,MATAM,MATAM,AGNAM CIVOL,THILOGNE,AGNAM CIVOL,.22506988,.0028271461,33.489933,"agnam-civol, thilogne",matam,matam,"agnam-civol, thilogne",.81722885,3.7432332,1.4237689,.21718241,.1689534,.15342879,.67761779,.22887526,.13028415,.0048412448,.11347149,.13510561,.23102623,.0026524297,.021825368,-.38104439,-.49769223,-.98616368,-1.5425292,1,1,1,4,7,Matched (3)
20,MATAM,MATAM,AGNAM CIVOL,DABIA,AGNAM CIVOL,1.3770885,.040033977,474.33011,"agnam-civol, thilogne",matam,matam,"agnam-civol, thilogne",.81722885,3.7432332,1.4237689,.21718241,.1689534,.15342879,.67761779,.22887526,.13028415,.0048412448,.11347149,.13510561,.23102623,.0026524297,.021825368,-.38104439,-.49769223,-.98616368,-1.5425292,1,1,1,4,7,Matched (3)
19,MATAM,MATAM,AGNAM CIVOL,AGNAM CIVOL,AGNAM CIVOL,1.3185564,.052176081,618.36169,"agnam-civol, thilogne",matam,matam,"agnam-civol, thilogne",.81722885,3.7432332,1.4237689,.21718241,.1689534,.15342879,.67761779,.22887526,.13028415,.0048412448,.11347149,.13510561,.23102623,.0026524297,.021825368,-.38104439,-.49769223,-.98616368,-1.5425292,1,1,1,4,7,Matched (3)
22,MATAM,MATAM,AGNAM CIVOL,OREFONDE,AGNAM CIVOL,1.4335067,.061706431,731.35547,"agnam-civol, thilogne",matam,matam,"agnam-civol, thilogne",.81722885,3.7432332,1.4237689,.21718241,.1689534,.15342879,.67761779,.22887526,.13028415,.0048412448,.11347149,.13510561,.23102623,.0026524297,.021825368,-.38104439,-.49769223,-.98616368,-1.5425292,1,1,1,4,7,Matched (3)
184,DAKAR,DAKAR,VILLE DE DAKAR,DIEUPPEUL DERKLE,GRAND DAKAR,.049281575,.00012530726,1.4930642,almadies,dakar,dakar,almadies,.94410324,3.1682365,6.8253212,.30388367,.4093731,.062690198,.5279367,.14971444,.34808403,.0095741218,.043730449,.087253891,.27433741,.0017595685,.032138001,-2.4093895,3.3469079,.88775206,2.00524,3,3,3,6,4,Matched (3)
186,DAKAR,DAKAR,VILLE DE DAKAR,HANN BEL AIR,GRAND DAKAR,.24186321,.0010010258,11.927954,almadies,dakar,dakar,almadies,.94410324,3.1682365,6.8253212,.30388367,.4093731,.062690198,.5279367,.14971444,.34808403,.0095741218,.043730449,.087253891,.27433741,.0017595685,.032138001,-2.4093895,3.3469079,.88775206,2.00524,3,3,3,6,4,Matched (3)
183,DAKAR,DAKAR,VILLE DE DAKAR,BISCUITERIE,GRAND DAKAR,.044868898,.00010363502,1.2348973,almadies,dakar,dakar,almadies,.94410324,3.1682365,6.8253212,.30388367,.4093731,.062690198,.5279367,.14971444,.34808403,.0095741218,.043730449,.087253891,.27433741,.0017595685,.032138001,-2.4093895,3.3469079,.88775206,2.00524,3,3,3,6,4,Matched (3)
