fid,REGION,DEPARTEMEN,COM_ARRT_V,COMMUNE,ARRONDISSE,_count,_sum,class1_percentage,class6_percentage,class8_percentage,class7_percentage,class9_percentage,class2_percentage,class3_percentage,class4_percentage,class5_percentage
1,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,TAMBACOUNDA,,55183,182,0.003,0,0.001,0.344,0,0,0.002,0.481,0.169
2,TAMBACOUNDA,BAKEL,BAKEL,BAKEL,,30425,199,0.007,0.023,0.001,0.057,0.011,0,0.004,0.146,0.743
3,DAKAR,RUFISQUE,BARGNY,BARGNY,,14911,92,0.006,0.005,0.073,0.387,0.014,0.001,0.005,0.15,0.352
4,MATAM,KANEL,KANEL,KANEL,,27309,486,0.018,0.22,0.009,0.066,0,0,0,0.017,0.658
5,KEDOUGOU,KEDOUGOU,KEDOUGOU,KEDOUGOU,,38299,29,0.001,0.014,0,0.203,0,0,0.251,0.524,0.006
6,KOLDA,KOLDA,KOLDA,KOLDA,,32026,322,0.01,0.001,0,0.409,0,0,0.207,0.329,0.044
7,LOUGA,LINGUERE,LINGUERE,LINGUERE,,24526,403,0.016,0,0,0.11,0,0.002,0,0.039,0.825
8,MATAM,MATAM,MATAM,MATAM,,76775,83,0.001,0.189,0.003,0.034,0,0.001,0.006,0.195,0.571
9,DIOURBEL,MBACKE,MBACKE,MBACKE,,22076,3557,0.161,0,0.001,0.436,0,0,0,0.037,0.364
10,KOLDA,MEDINA YORO FOULAH,MEDINA YORO FOULAH,MEDINA YORO FOULAH,,43839,1968,0.045,0,0,0.012,0,0,0.326,0.502,0.115
11,KAFFRINE,KAFFRINE,KATAKEL,NGANDA,KATAKEL,39670,32454,0.818,0,0,0.03,0,0,0,0.084,0.068
12,MATAM,MATAM,OUROSSOGUI,OUROSSOGUI,,18105,15,0.001,0.002,0.008,0.197,0,0,0.001,0.108,0.66
13,KEDOUGOU,SALEMATA,SALEMATA,SALEMATA,,47894,42,0.001,0,0,0.011,0,0,0.573,0.41,0.005
14,DAKAR,RUFISQUE,SENDOU,SENDOU,,12585,1500,0.119,0.001,0.008,0.062,0,0,0.009,0.464,0.332
15,THIES,TIVAOUANE,TIVAOUANE,TIVAOUANE,,78763,24622,0.313,0,0,0.157,0,0,0,0.13,0.398
16,KOLDA,VELINGARA,VELINGARA,VELINGARA,,17427,1030,0.059,0,0,0.327,0,0.001,0.073,0.382,0.158
17,KAOLACK,NIORO,NIORO,NIORO,,11899,4736,0.398,0.002,0,0.252,0,0,0.07,0.205,0.073
18,KEDOUGOU,SARAYA,SARAYA,SARAYA,,176971,6,0,0,0,0.004,0,0,0.556,0.44,0.001
19,MATAM,MATAM,AGNAM CIVOL,AGNAM CIVOL,AGNAM CIVOL,718390,131,0,0.041,0.007,0.004,0,0,0.002,0.014,0.832
20,MATAM,MATAM,AGNAM CIVOL,DABIA,AGNAM CIVOL,551209,113,0,0.031,0.004,0.004,0,0.001,0.001,0.033,0.861
21,MATAM,MATAM,AGNAM CIVOL,NGUIDJILONE,AGNAM CIVOL,67507,8,0,0.051,0.005,0.017,0,0,0,0.016,0.886
22,MATAM,MATAM,AGNAM CIVOL,OREFONDE,AGNAM CIVOL,849635,185,0,0.011,0.007,0.002,0,0,0.003,0.014,0.891
23,MATAM,MATAM,AGNAM CIVOL,THILOGNE,AGNAM CIVOL,38931,4,0,0.038,0.003,0.035,0,0,0.001,0.052,0.869
24,DAKAR,DAKAR,VILLE DE DAKAR,MERMOZ-SACRE COEUR,ALMADIES,5081,0,0,0.001,0.002,0.951,0,0,0.001,0.001,0.043
25,DAKAR,DAKAR,VILLE DE DAKAR,NGOR,ALMADIES,5032,0,0,0.01,0.003,0.796,0.008,0,0.003,0.01,0.172
26,DAKAR,DAKAR,VILLE DE DAKAR,OUAKAM,ALMADIES,8405,0,0,0,0.001,0.821,0.001,0,0.003,0.016,0.157
27,DAKAR,DAKAR,VILLE DE DAKAR,YOFF,ALMADIES,15978,0,0,0.003,0.011,0.685,0.001,0.001,0.003,0.065,0.229
28,MATAM,KANEL,ORKADIERE,OUAOUNDE,ORKADIERE,18442,5,0,0.065,0.003,0.081,0.001,0.001,0.001,0.042,0.803
29,DIOURBEL,BAMBEY,BABA GARAGE,BABA GARAGE,BABA GARAGE,158235,140770,0.89,0,0,0.013,0,0,0,0.004,0.092
30,DIOURBEL,BAMBEY,BABA GARAGE,DINGUIRAYE,BABA GARAGE,133447,126536,0.948,0,0,0.009,0,0,0.001,0.013,0.025
31,DIOURBEL,BAMBEY,BABA GARAGE,KEUR SAMBA KANE,BABA GARAGE,181900,156441,0.86,0,0,0.014,0,0,0,0.007,0.119
32,TAMBACOUNDA,GOUDIRY,BALA,BALA,BALA,1338247,1979,0.001,0,0,0.001,0,0,0.014,0.978,0.005
33,TAMBACOUNDA,GOUDIRY,BALA,GOUMBAYEL,BALA,1201188,2941,0.002,0,0,0,0,0,0.148,0.843,0.006
34,TAMBACOUNDA,GOUDIRY,BALA,KOAR,BALA,685328,4224,0.006,0,0,0.001,0,0,0.022,0.95,0.021
35,TAMBACOUNDA,KOUMPENTOUM,BAMBA THIALENE,KAHENE,BAMBA THIALENE,386775,21598,0.056,0,0,0.003,0,0,0.01,0.766,0.165
36,TAMBACOUNDA,KOUMPENTOUM,BAMBA THIALENE,NDAME,BAMBA THIALENE,484371,11166,0.023,0,0,0.002,0,0,0.004,0.829,0.142
37,TAMBACOUNDA,KOUMPENTOUM,BAMBA THIALENE,BAMBA THIALENE,BAMBA THIALENE,352410,20463,0.058,0,0,0.003,0,0,0.005,0.711,0.222
38,TAMBACOUNDA,KOUMPENTOUM,BAMBA THIALENE,MERETO,BAMBA THIALENE,427936,23013,0.054,0,0,0.002,0,0,0.006,0.796,0.143
39,DIOURBEL,BAMBEY,BAMBEY,BAMBEY,,11585,5099,0.44,0,0,0.378,0,0,0.009,0.089,0.083
40,DAKAR,RUFISQUE,DIAMNIADIO,YENNE,DIAMNIADIO,46825,6307,0.135,0.001,0.003,0.072,0.001,0,0.074,0.455,0.255
41,KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,BANDAFASSI,797872,87,0,0.003,0,0.002,0,0,0.645,0.348,0.001
42,KEDOUGOU,KEDOUGOU,BANDAFASSI,DINDEFELO,BANDAFASSI,287799,69,0,0.002,0,0.003,0,0,0.646,0.348,0.001
43,KEDOUGOU,KEDOUGOU,BANDAFASSI,NINEFECHA,BANDAFASSI,2741613,151,0,0.003,0,0,0.001,0,0.61,0.385,0
44,KEDOUGOU,KEDOUGOU,BANDAFASSI,TOMBORONCOTO,BANDAFASSI,2690148,48,0,0.002,0,0.001,0,0,0.67,0.326,0.001
