fid,2021-01_prec,2021-02_prec,2021-03_prec,2021-04_prec,2021-05_prec,2021-06_prec,2021-07_prec,2021-08_prec,2021-09_prec,2021-10_prec,2021-11_prec,2021-12_prec,2022-01_prec,2022-02_prec,2022-03_prec,2022-04_prec,2022-05_prec,2022-06_prec,2022-07_prec,2022-08_prec,2022-09_prec,2022-10_prec,2022-11_prec,2022-12_prec,2023-01_prec,2023-02_prec,2023-03_prec,2023-04_prec,2023-05_prec,2023-06_prec,2023-07_prec,2023-08_prec,2023-09_prec,2023-10_prec,2023-11_prec,2023-12_prec,2024-01_prec,2024-02_prec,2024-03_prec,2024-04_prec,2024-05_prec,2024-06_prec,2024-07_prec,2024-08_prec,2024-09_prec,2024-10_prec,2024-11_prec,2024-12_prec
1,0.093818009,0.170707434,0.0,0.499312788,0.769149899,84.36058044,207.7719421,333.1681824,239.3530273,96.56076813,2.276304007,0.0,0.0,0.0,0.0,0.499313086,42.12435532,147.2067413,145.770401,237.8233948,253.8221283,118.6704559,0.255276591,0.124184728,0.018843226,0.016508948,0.0,0.499313354,27.41537094,152.0487976,177.8697968,232.6273956,202.5157013,83.38352966,0.0,0.108336836,0.0,0.071289264,0.0,0.561147511,23.28025055,22.68451118,194.3691711,283.8044739,195.2690277,108.1951065,0.87182802,0.545385718
2,0.0,0.33645463,0.001682282,0.0,0.0,41.72878265,110.6820374,293.2470398,109.5069427,25.14812088,0.537876427,0.0,0.020415138,0.0,0.0,0.0,34.89859772,124.8783417,159.9425812,211.6458588,302.4517822,29.38190079,1.733679533,0.357894361,0.089853235,0.0,0.001361381,0.003487031,13.39265823,96.09625244,137.3019714,205.439682,152.2976379,34.29891205,0.0,0.0,0.0,0.157579437,0.0,0.0,0.0,1.828244328,202.8257446,153.6964417,256.0310364,38.33647919,0.0,0.556954026
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.217018723,0.144490898,0.0,0.0,0.0,18.98681068,61.6489563,336.8909607,70.69742584,8.326639175,0.237580895,0.0,0.046169076,0.0,0.0,0.0,28.08610535,84.87557983,136.1040497,205.6637573,151.3694,27.44349861,0.287103802,0.445299327,0.032375723,0.048768982,0.025820488,0.111358486,8.340569496,66.81324768,99.09612274,119.1491394,84.68593597,12.23503876,0.0,0.44724533,0.0,0.048598185,0.0,0.0,0.0,12.20525932,119.8644867,116.8999023,137.140564,23.54306602,0.352209926,0.994404376
5,0.0,0.0,0.0,0.0,38.18878555,123.9924088,176.2825928,452.7455444,264.2693787,169.7448425,4.026390076,0.025207773,0.0,0.0,0.0,0.356181502,50.74629593,203.6614685,202.4762115,262.8926086,251.7947235,88.54867554,1.187353015,0.0,0.0,0.0,0.093836635,0.641062975,63.1601181,169.7294617,335.0665283,211.8293915,371.0314636,162.294693,0.16295135,0.015356827,0.0,0.045884326,0.381828964,0.0,41.09447861,158.1863098,221.2715149,348.1149597,368.8259277,213.9175568,0.0,0.268505573
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.241589308,0.775493562,0.002174909,0.0,0.0,45.44699097,315.291687,1387.604614,257.4070129,14.07370186,0.465170741,0.338474244,0.377651989,0.0,0.044100642,0.0,97.32223511,289.2800293,496.6116638,845.5045776,545.6164551,108.8547668,4.650182724,1.393536329,0.356719375,0.346189916,0.164937079,1.212801695,20.40779495,198.4941254,415.2697144,516.21521,358.0949097,5.623106003,0.0,0.579393148,0.013961369,0.620045722,0.0,0.0,0.0,44.88786316,463.9963379,586.125061,451.9054565,74.92474365,0.793651819,4.536397934
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.121856764,0.039343517,0.002489846,2.08155489,85.240242,220.989624,301.6706238,223.9994812,111.903244,2.329724789,0.0,0.0,0.0,0.011180324,0.0,50.05888367,136.5780334,177.6216736,248.6025848,258.3018188,152.440567,0.009472814,0.159503847,0.008243345,0.0,0.0,0.1191663,19.34971619,182.8614044,282.5447693,185.8255615,228.6572266,90.32206726,0.0,0.161876693,0.0,0.010775335,0.0,0.0,25.25619698,61.54740143,272.0489807,247.4628754,359.3496399,193.6454468,0.977116823,1.049097061
11,0.169433773,0.141144708,0.0,0.0,0.0,84.23544312,148.8375244,312.809845,167.2935638,56.92533875,1.25980854,0.0,0.078698426,0.0,0.0152533,0.0,36.16507339,116.1737671,195.9052734,183.2607117,222.1829681,107.9473267,2.912201643,0.151611328,0.213564396,0.0,0.0,0.0,12.77195835,135.5708008,194.9257355,183.8652496,194.2961884,43.8219986,0.0,0.29957217,0.021908386,0.011822183,0.0,0.0,13.36271477,28.17726517,243.7189636,192.112854,251.4580383,136.100647,0.657427549,1.449676514
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.147107631,27.89983368,118.7212219,180.9163208,421.4778442,255.2625732,168.1716309,2.192813158,0.0,0.0,0.0,0.0,0.339220226,45.56494904,200.6517029,178.7953949,327.1877441,213.9057617,119.8501816,3.001192331,0.0,0.0,0.0,0.003379946,1.702336431,42.73023605,206.1951294,285.930603,299.8929443,367.7384338,171.292038,0.0,0.040583372,0.0,0.0,0.018407181,0.187539265,47.88025665,164.0114441,228.2825928,294.0435791,344.62146,209.3589935,0.0,0.431051791
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
