fid,REGION,COMMUNE,AEZclass,AEZclassname,popsum2021,popmean2021,popsum2022,popmean2022,popsum2023,popmean2023,popsum2024,popmean2024,Rainfed_percentage,Wetland_percentage,Bare_percentage,Impervious_percentage,Water_percentage,Irrigated_percentage,Forest_percentage,Shrubland_percentage,Grassland_percentage
1,TAMBACOUNDA,TAMBACOUNDA,2,Tropics lowland; semi-arid with soil/terrain limitations,140566.5406,30.04200484,141713.7292,30.28718298,152955.1393,32.68970704,147418.3056,31.50637009,0.003,0,0.001,0.344,0,0,0.002,0.481,0.169
2,TAMBACOUNDA,BAKEL,50,Land with severe soil/terrain limitations,20265.94275,21.33257132,21103.19406,22.21388848,22388.75314,23.51759784,21160.40981,22.22732123,0.007,0.023,0.001,0.057,0.011,0,0.004,0.146,0.743
3,DAKAR,BARGNY,2,Tropics lowland; semi-arid with soil/terrain limitations,71495.15214,53.91791262,75394.3317,56.85847036,79156.28451,59.69553884,77983.80598,58.76699772,0.006,0.005,0.073,0.387,0.014,0.001,0.005,0.15,0.352
4,MATAM,KANEL,53,Desert/Arid climate,14971.09266,16.87834573,15289.27511,17.12124872,15662.57912,17.51966345,15458.18972,17.29103996,0.018,0.22,0.009,0.066,0,0,0,0.017,0.658
5,KEDOUGOU,KEDOUGOU,50,Land with severe soil/terrain limitations,42552.96872,15.5643631,43414.46093,15.7698732,47194.37977,17.13666658,45869.18707,16.65547824,0.001,0.014,0,0.203,0,0,0.251,0.524,0.006
6,KOLDA,KOLDA,2,Tropics lowland; semi-arid with soil/terrain limitations,86007.60322,29.61694326,86688.11281,29.85127852,91426.96642,31.48311516,86291.51124,29.67383468,0.01,0.001,0,0.409,0,0,0.207,0.329,0.044
7,LOUGA,LINGUERE,53,Desert/Arid climate,14031.16449,15.13609977,13997.40124,15.06717033,15319.04294,16.48982017,14345.38216,15.44174614,0.016,0,0,0.11,0,0.002,0,0.039,0.825
8,MATAM,MATAM,53,Desert/Arid climate,24305.37715,19.03318493,24895.29313,19.41910541,24722.83818,19.25454687,24224.6327,18.70628008,0.001,0.189,0.003,0.034,0,0.001,0.006,0.195,0.571
9,DIOURBEL,MBACKE,2,Tropics lowland; semi-arid with soil/terrain limitations,83236.40922,38.09446646,84861.7223,38.83831684,87128.41753,39.87570596,85232.16301,39.00785492,0.161,0,0.001,0.436,0,0,0,0.037,0.364
10,KOLDA,MEDINA YORO FOULAH,52,Dominantly hydromorphic soils,6708.527581,7.244630217,7774.276053,8.252946978,8670.935655,9.204814921,7930.052618,8.418314881,0.045,0,0,0.012,0,0,0.326,0.502,0.115
11,KAFFRINE,NGANDA,2,Tropics lowland; semi-arid with soil/terrain limitations,12082.20586,6.129987754,12498.12043,6.29945586,13297.36954,6.698926723,12788.45451,6.442546354,0.818,0,0,0.03,0,0,0,0.084,0.068
12,MATAM,OUROSSOGUI,53,Desert/Arid climate,31881.326,24.88784231,32101.28488,24.8269798,32873.6418,25.22919555,32177.78944,24.56319804,0.001,0.002,0.008,0.197,0,0,0.001,0.108,0.66
13,KEDOUGOU,SALEMATA,50,Land with severe soil/terrain limitations,7381.087723,3.949217615,8201.248927,4.334698164,8595.677896,4.528808165,8398.330677,4.420174041,0.001,0,0,0.011,0,0,0.573,0.41,0.005
14,DAKAR,SENDOU,2,Tropics lowland; semi-arid with soil/terrain limitations,13111.88741,13.83110486,13059.94457,13.77631284,14150.19925,14.92637052,15516.94375,16.28220751,0.119,0.001,0.008,0.062,0,0,0.009,0.464,0.332
15,THIES,TIVAOUANE,2,Tropics lowland; semi-arid with soil/terrain limitations,89900.30947,16.18076124,91229.10291,16.20698222,95683.46739,16.95012708,89927.53815,15.92765465,0.313,0,0,0.157,0,0,0,0.13,0.398
16,KOLDA,VELINGARA,50,Land with severe soil/terrain limitations,37851.67023,24.88604223,37511.01085,24.66207157,41587.95125,27.30659964,39970.41307,26.19293124,0.059,0,0,0.327,0,0.001,0.073,0.382,0.158
17,KAOLACK,NIORO,2,Tropics lowland; semi-arid with soil/terrain limitations,22041.63693,24.27493054,21649.14523,23.79026948,23498.13066,25.76549415,21706.96292,23.67171529,0.398,0.002,0,0.252,0,0,0.07,0.205,0.073
18,KEDOUGOU,SARAYA,2,Tropics lowland; semi-arid with soil/terrain limitations,5861.489732,9.901165088,6484.509492,10.52680112,7034.617529,11.40132501,6835.228088,11.07816546,0,0,0,0.004,0,0,0.556,0.44,0.001
19,MATAM,AGNAM CIVOL,53,Desert/Arid climate,31645.24673,9.71010946,31806.96886,9.723928113,32068.8593,9.765182492,32123.87325,9.722721927,0,0.041,0.007,0.004,0,0,0.002,0.014,0.832
20,MATAM,DABIA,53,Desert/Arid climate,30171.59456,6.37069142,32261.27297,6.742167809,32872.03851,6.851196022,33918.66631,7.042912441,0,0.031,0.004,0.004,0,0.001,0.001,0.033,0.861
21,MATAM,NGUIDJILONE,52,Dominantly hydromorphic soils,10621.82463,10.86076138,10704.77492,10.67275665,11419.25635,11.20633597,11540.56422,11.28109895,0,0.051,0.005,0.017,0,0,0,0.016,0.886
22,MATAM,OREFONDE,53,Desert/Arid climate,23491.92128,6.444971544,23658.79378,6.458857162,25803.15768,7.027003724,26752.1934,7.240106469,0,0.011,0.007,0.002,0,0,0.003,0.014,0.891
23,MATAM,THILOGNE,53,Desert/Arid climate,13344.92538,15.374338,14029.3983,16.16290126,15129.22703,17.42998506,14423.09472,16.61646857,0,0.038,0.003,0.035,0,0,0.001,0.052,0.869
24,DAKAR,MERMOZ-SACRE COEUR,56,Dominantly built-up land,70828.28929,133.3866088,68673.84601,129.3292769,65763.52763,123.8484513,67904.93353,127.8812307,0,0.001,0.002,0.951,0,0,0.001,0.001,0.043
25,DAKAR,NGOR,56,Dominantly built-up land,53480.49902,102.6497102,52931.18279,101.5953604,50916.03413,97.72751272,52486.52169,100.7418842,0,0.01,0.003,0.796,0.008,0,0.003,0.01,0.172
26,DAKAR,OUAKAM,56,Dominantly built-up land,106569.5954,122.4937878,104841.2015,120.5071282,102019.7935,117.2641305,105740.6972,121.2622675,0,0,0.001,0.821,0.001,0,0.003,0.016,0.157
27,DAKAR,YOFF,56,Dominantly built-up land,140274.4966,87.34402032,141910.1909,88.36250987,138483.9682,86.2291209,144587.3314,90.0294716,0,0.003,0.011,0.685,0.001,0.001,0.003,0.065,0.229
28,MATAM,OUAOUNDE,52,Dominantly hydromorphic soils,11439.84373,23.06420107,11159.75569,22.23058903,11687.21779,23.28131033,11528.44716,22.96503417,0,0.065,0.003,0.081,0.001,0.001,0.001,0.042,0.803
29,DIOURBEL,BABA GARAGE,2,Tropics lowland; semi-arid with soil/terrain limitations,24345.74043,3.936255526,24805.62868,3.998972865,24797.1806,3.988608751,25702.34139,4.097296571,0.89,0,0,0.013,0,0,0,0.004,0.092
30,DIOURBEL,DINGUIRAYE,2,Tropics lowland; semi-arid with soil/terrain limitations,18768.21435,3.704740298,18648.62044,3.660180656,19902.42713,3.897850985,20861.14553,4.05070787,0.948,0,0,0.009,0,0,0.001,0.013,0.025
31,DIOURBEL,KEUR SAMBA KANE,2,Tropics lowland; semi-arid with soil/terrain limitations,24542.71536,4.504903701,24958.20979,4.527977104,24486.70769,4.402500484,25629.89025,4.568607888,0.86,0,0,0.014,0,0,0,0.007,0.119
32,TAMBACOUNDA,BALA,2,Tropics lowland; semi-arid with soil/terrain limitations,12333.83974,1.441879792,12901.97396,1.505481209,13564.72269,1.580049236,13907.60171,1.619045601,0.001,0,0,0.001,0,0,0.014,0.978,0.005
33,TAMBACOUNDA,GOUMBAYEL,50,Land with severe soil/terrain limitations,7411.471185,2.110327786,7612.915102,2.163989512,7593.09757,2.15468149,7920.827025,2.241320607,0.002,0,0,0,0,0,0.148,0.843,0.006
34,TAMBACOUNDA,KOAR,2,Tropics lowland; semi-arid with soil/terrain limitations,9319.372782,2.311925771,9830.955584,2.432200788,9980.854325,2.460762901,10613.1579,2.6140783,0.006,0,0,0.001,0,0,0.022,0.95,0.021
35,TAMBACOUNDA,KAHENE,2,Tropics lowland; semi-arid with soil/terrain limitations,17530.93516,2.12444682,18223.76352,2.208405661,18116.77345,2.18907364,19125.66366,2.305963788,0.056,0,0,0.003,0,0,0.01,0.766,0.165
36,TAMBACOUNDA,NDAME,2,Tropics lowland; semi-arid with soil/terrain limitations,14882.53679,2.013330194,16036.89765,2.16861361,16282.17436,2.190230611,17171.45872,2.290444007,0.023,0,0,0.002,0,0,0.004,0.829,0.142
37,TAMBACOUNDA,BAMBA THIALENE,2,Tropics lowland; semi-arid with soil/terrain limitations,18770.51514,1.910679473,20225.27413,2.056458986,21356.84649,2.167987665,21902.60494,2.22338899,0.058,0,0,0.003,0,0,0.005,0.711,0.222
38,TAMBACOUNDA,MERETO,2,Tropics lowland; semi-arid with soil/terrain limitations,15927.34862,1.996158493,16767.28453,2.101426812,17993.84616,2.25120057,18415.26631,2.29387971,0.054,0,0,0.002,0,0,0.006,0.796,0.143
39,DIOURBEL,BAMBEY,2,Tropics lowland; semi-arid with soil/terrain limitations,27610.53232,27.52794848,26486.59317,26.35481907,26913.60362,26.5420154,25246.23531,24.65452667,0.44,0,0,0.378,0,0,0.009,0.089,0.083
40,DAKAR,YENNE,2,Tropics lowland; semi-arid with soil/terrain limitations,67455.10202,19.06049789,71888.68628,20.16512939,78289.55758,21.8685915,83678.04599,23.34115648,0.135,0.001,0.003,0.072,0.001,0,0.074,0.455,0.255
41,KEDOUGOU,BANDAFASSI,50,Land with severe soil/terrain limitations,14025.02741,2.310167585,14845.42494,2.429295523,14562.28825,2.369007361,15778.28782,2.561410361,0,0.003,0,0.002,0,0,0.645,0.348,0.001
42,KEDOUGOU,DINDEFELO,50,Land with severe soil/terrain limitations,6538.768376,3.496667581,6657.818361,3.524520043,6341.259999,3.280527677,6853.444913,3.529065352,0,0.002,0,0.003,0,0,0.646,0.348,0.001
43,KEDOUGOU,NINEFECHA,50,Land with severe soil/terrain limitations,8104.644347,2.044046494,8181.373934,2.060280517,7596.071642,1.902347018,8551.999084,2.127892283,0,0.003,0,0,0.001,0,0.61,0.385,0
44,KEDOUGOU,TOMBORONCOTO,50,Land with severe soil/terrain limitations,19331.53456,3.491337288,20927.04915,3.750367231,22876.97682,4.076439205,24286.30646,4.301506635,0,0.002,0,0.001,0,0,0.67,0.326,0.001
45,LOUGA,BARKEDJI,53,Desert/Arid climate,28363.34169,1.435391786,28508.61676,1.439901851,28372.41908,1.428693242,29202.87551,1.463363175,0.05,0,0,0.001,0,0,0.003,0.035,0.905
46,LOUGA,GASSANE,2,Tropics lowland; semi-arid with soil/terrain limitations,22856.43362,1.230361933,23974.17742,1.283689089,23996.99538,1.27827174,24764.12248,1.314513641,0.368,0,0,0.001,0,0,0,0.039,0.592
