GID_2,GID_0GHSL,Tot_Pop,UCentre_Pop,UCluster_Pop,Rural_Pop,UCentre_share,UCluster_share,Urban_share,Rural_share,DEGURBA_L1,DUC_Pop,SDUC_Pop,SUrb_Pop,RC_Pop,LDR_Pop,VLDR_Pop,DUC_share,SDUC_share,SUrb_share,RC_share,LDR_share,VLDR_share,DEGURBA_L2
AFG.1.1_1,AFG,80089.8104254082,0,48538.3407851011,31551.4696403071,0,0.606048890954828,0.606048890954828,0.393951109045172,2,23672.3067439273,6046.57341051102,18819.4606306627,13796.6371508837,15234.2725052685,2520.559984155,0.295572016192679,0.0754974119478346,0.234979462814315,0.172264574951556,0.190214865341165,0.0314716687524505,21
AFG.1.2_1,AFG,54392.24405073,0,16953.9196647406,37438.3243859895,0,0.311697374517737,0.311697374517737,0.688302625482263,1,14237.6538589001,0,2716.26580584049,30712.5530144572,6370.88708357885,354.884287953377,0.261758897934438,0,0.0499384765832995,0.564649492780856,0.117128594246579,0.00652453845482799,13
AFG.1.3_1,AFG,226066.295378972,74683.0397381671,98945.7498444617,52437.5057963431,0.330359019742285,0.437684660946876,0.768043680689162,0.231956319310838,2,53951.0507988036,5881.50991001725,39113.1891356409,30976.4541795198,16572.7085026,4888.34311422333,0.238651457123944,0.0260167483178226,0.17301645550511,0.137023761669521,0.0733090639399292,0.0216234937013881,23
AFG.1.4_1,AFG,12551.5592371374,0,0,12551.5592371374,0,0,0,1,1,0,0,0,5459.51695886254,6288.47718076408,803.565097510815,0,0,0,0.434967230422574,0.501011632256636,0.0640211373207907,12
AFG.1.5_1,AFG,83994.0947846174,0,55938.5614207163,28055.5333639011,0,0.665982073670266,0.665982073670266,0.334017926329735,2,43617.7153126001,0,12320.8461081162,18554.8594247103,7868.82783645391,1631.84610273689,0.519295022161346,0,0.146687051508919,0.22090671340991,0.0936831078021809,0.0194281051176439,23
AFG.1.6_1,AFG,32570.8416686021,0,20203.2137979269,12367.6278706752,0,0.620285284718404,0.620285284718404,0.379714715281596,2,8229.87616634369,8564.098970294,3409.23866128922,10124.5414467454,1924.46456068754,318.621863242239,0.252676189644715,0.262937600981607,0.104671494092082,0.310846785900081,0.0590855029252346,0.00978242645627996,22
AFG.1.7_1,AFG,116582.997967191,0,64248.2429128028,52334.7550543882,0,0.551094448016199,0.551094448016199,0.448905551983801,2,41573.1996757649,4559.336186409,18115.707050629,35777.0508297496,14082.6778679974,2475.0263566412,0.356597449033387,0.0391080712102814,0.155388927772531,0.306880518202302,0.120795297029165,0.0212297367523327,21
AFG.1.8_1,AFG,9594.0368770957,0,0,9594.0368770957,0,0,0,1,1,0,0,0,8108.46038389206,1390.21854346991,95.3579497337341,0,0,0,0.845156266102101,0.144904440255889,0.00993929364201077,13
AFG.1.9_1,AFG,69597.3085121028,0,37354.4206390381,32242.8878730647,0,0.536722201441773,0.536722201441773,0.463277798558227,2,31534.0779206753,0,5820.34271836281,25936.784404397,5984.10322732851,322.000241339207,0.453093353677486,0,0.0836288477642877,0.372669359762478,0.0859818196315435,0.00462661916420535,21
AFG.1.10_1,AFG,39248.9198337868,0,22635.193017602,16613.7268161848,0,0.576708686849436,0.576708686849436,0.423291313150564,2,14468.2034904957,0,8166.98952710629,9668.90564520657,6126.3859244287,818.435246549547,0.368626794107107,0,0.208081892742329,0.246348324645695,0.156090561227494,0.0208524272773747,21
AFG.1.11_1,AFG,37635.823614202,0,4372.88557665888,33262.9380375431,0,0.116189448156749,0.116189448156749,0.883810551843251,1,0,0,4372.88557665888,20268.013005577,10895.2433475759,2099.68168439018,0,0,0.116189448156749,0.538529811738432,0.289491295826579,0.0557894442782396,13
AFG.1.12_1,AFG,12419.6149947215,0,0,12419.6149947215,0,0,0,1,1,0,0,0,2505.78624152392,8261.83113582432,1651.99761737324,0,0,0,0.201760380059198,0.66522441632335,0.133015203617452,12
AFG.1.13_1,AFG,4144.36444881558,0,0,4144.36444881558,0,0,0,1,1,0,0,0,2192.67493209243,1738.84576286376,212.843753859401,0,0,0,0.52907386866497,0.419568738304542,0.0513573930304873,13
AFG.2.1_1,AFG,11795.7778817415,0,7629.24700641632,4166.5308753252,0,0.646777777854354,0.646777777854354,0.353222222145646,2,50.3952293395996,4518.37300777435,3060.47876930237,3214.850014925,888.972255766392,62.7086046338081,0.00427231080856528,0.383050024599756,0.259455442446032,0.272542434009478,0.0753635974395903,0.00531619069657743,21
AFG.2.2_1,AFG,45493.1780142784,0,32802.4190593362,12690.7589549422,0,0.721040395310279,0.721040395310279,0.278959604689721,2,18528.5478441119,8611.30220937729,5662.56900584698,6620.22768545151,5267.8684515357,802.662817955017,0.407281897041719,0.189287769842647,0.124470728425913,0.145521328129103,0.115794690137548,0.0176435864230697,22
AFG.2.3_1,AFG,65632.3985956907,0,28893.2541904449,36739.1444052458,0,0.440228527505652,0.440228527505652,0.559771472494348,1,26640.6183052063,0,2252.63588523865,32830.7541213036,3558.33150553703,350.05877840519,0.405906516830477,0,0.0343220106751751,0.500221762784381,0.0542160820215805,0.00533362768838641,13
AFG.2.4_1,AFG,9771.81406134553,0,0,9771.81406134553,0,0,0,1,1,0,0,0,6738.95932665467,2856.93204423971,175.922690451145,0,0,0,0.689632373717798,0.292364552405977,0.0180030738762257,13
AFG.2.5_1,AFG,80411.5339308977,0,61674.3616941273,18737.1722367704,0,0.766984021808708,0.766984021808708,0.233015978191292,2,20297.2452713698,21402.2099964619,19974.9064262956,4542.91248993576,12530.1923865527,1664.06736028194,0.252417088434259,0.266158459492316,0.248408473882133,0.0564957819837107,0.155825809731731,0.0206943864758503,22
AFG.2.6_1,AFG,84278.7996025421,0,58484.9604827464,25793.8391197957,0,0.693946292051629,0.693946292051629,0.306053707948371,2,38568.6809510589,9526.38040485978,10389.8991268277,18342.6445804834,6167.88409274817,1283.31044656411,0.457632063258475,0.113034125424022,0.123280103369132,0.217642451802673,0.0731842897838583,0.0152269663618394,22
