GID_1,GID_0GHSL,Tot_Pop,UCentre_Pop,UCluster_Pop,Rural_Pop,UCentre_share,UCluster_share,Urban_share,Rural_share,DEGURBA_L1,DUC_Pop,SDUC_Pop,SUrb_Pop,RC_Pop,LDR_Pop,VLDR_Pop,DUC_share,SDUC_share,SUrb_share,RC_share,LDR_share,VLDR_share,DEGURBA_L2
AFG.1_1,AFG,240299.930495989,0,61069.952320816,179229.978175173,0,0.254140532603422,0.254140532603422,0.745859467396578,1,39838.5782740358,5686.66112207994,15544.7129247002,86397.6070089154,72114.8193950397,20717.551771218,0.165786890540531,0.02366484713642,0.0646887949264708,0.359540707442516,0.300103371841147,0.086215388112914,13
AFG.2_1,AFG,119972.065876639,0,41650.8688527504,78321.197023889,0,0.347171389843179,0.347171389843179,0.652828610156821,1,9431.61579839513,14434.4446419775,17784.8084123777,46384.5687600225,26168.4280397976,5768.20022406895,0.0786150986854984,0.120315046144322,0.148241245013359,0.386628073969462,0.218121008824713,0.0480795273626451,13
AFG.3_1,AFG,466305.162760325,56994.9286149554,215104.891044032,194205.343101338,0.122226672931456,0.461296396056831,0.583523068988287,0.416476931011713,2,89519.9215045832,38691.832096234,86893.1374432147,91903.7042603046,90360.215239305,11941.4236017279,0.191977118534704,0.0829753457310982,0.186343931791029,0.197089184508004,0.193779143907418,0.025608602596291,21
AFG.4_1,AFG,812360.420043707,263527.64278717,265344.124572831,283488.652683707,0.324397442668355,0.32663349669172,0.651030939360076,0.348969060639924,2,109764.605719808,30404.8731410839,125174.645711938,130002.205470375,134735.035402788,18751.4118105441,0.13511811138448,0.037427812078102,0.154087573229138,0.160030206128679,0.165856228440498,0.0230826260707473,21
AFG.5_1,AFG,157270.333553076,0,74844.1686313152,82426.1649217606,0,0.475895020633734,0.475895020633734,0.524104979366266,1,49061.5008087158,20522.7088763714,5259.95894622803,64668.2139014602,16591.168471694,1166.7825486064,0.311956487280918,0.130493198639051,0.0334453347137646,0.411191433504755,0.105494584368607,0.00741896149290374,13
AFG.6_1,AFG,202891.515196264,0,131944.043623269,70947.4715729952,0,0.650318193422897,0.650318193422897,0.349681806577103,2,122424.408317506,3975.33755683899,5544.2977489233,52540.282560885,16843.4373859763,1563.75162613392,0.603398363894523,0.0195934145052518,0.0273264150231227,0.25895751485744,0.083016962881287,0.00770732883837577,23
AFG.7_1,AFG,145020.311015496,0,31053.8366380129,113966.474377483,0,0.21413439552405,0.21413439552405,0.785865604475951,1,10567.0611038059,3877.22987706959,16609.5456571374,52552.438665159,49794.7741455892,11619.2615667349,0.0728660766882286,0.0267357713545056,0.114532547481315,0.362379850775135,0.343364138422434,0.080121615278382,13
AFG.8_1,AFG,351418.148887387,0,237080.319946703,114337.828940684,0,0.674638804789436,0.674638804789436,0.325361195210564,2,106989.623432076,50867.3544823024,79223.3420323245,67321.7612601016,41979.8610168886,5036.20666369377,0.30445104719495,0.144748797531806,0.22543896006268,0.191571668888607,0.11945843192732,0.0143310943946371,21
AFG.9_1,AFG,2389300.73351448,572015.924679056,1354045.24980786,463239.55902756,0.239407252781304,0.566711938273323,0.806119191054627,0.193880808945373,2,771773.530978441,103288.174388528,478983.544440895,290779.232350431,157760.179468386,14700.1472087428,0.323012302366484,0.0432294574474092,0.20047017845943,0.121700557938019,0.0660277617026186,0.00615248930473478,23
AFG.10_1,AFG,228972.685404234,0,146120.990632132,82851.6947721019,0,0.638159046674787,0.638159046674787,0.361840953325213,2,107591.47854729,17849.3905361816,20680.1215486601,63279.3009317741,18221.2812010869,1351.11263924092,0.469887831194125,0.0779542350419217,0.0903169804387407,0.276361788831097,0.0795784054718958,0.00590075902221977,22
