system:time_start,LST_Day_1km
18-Feb-00,
26-Feb-00,
5-Mar-00,
13-Mar-00,32.174
21-Mar-00,32
29-Mar-00,33.55
6-Apr-00,32.449
14-Apr-00,32.116
22-Apr-00,29.793
30-Apr-00,29.762
8-May-00,30.869
16-May-00,30.057
24-May-00,28.582
1-Jun-00,26.752
9-Jun-00,25.084
17-Jun-00,30.208
25-Jun-00,28.303
3-Jul-00,30.406
11-Jul-00,31.143
19-Jul-00,31.47
27-Jul-00,29.61
4-Aug-00,31.621
12-Aug-00,33.761
20-Aug-00,35.634
28-Aug-00,37.032
5-Sep-00,36.318
13-Sep-00,37.581
21-Sep-00,40.615
29-Sep-00,39.429
7-Oct-00,40.624
15-Oct-00,40.785
23-Oct-00,37.64
31-Oct-00,36.298
8-Nov-00,36.918
16-Nov-00,35.75
24-Nov-00,39.298
2-Dec-00,
10-Dec-00,36.53
18-Dec-00,38.628
26-Dec-00,36.15
1-Jan-01,38.513
9-Jan-01,33.903
17-Jan-01,34.157
25-Jan-01,
2-Feb-01,31.211
10-Feb-01,
18-Feb-01,29.059
26-Feb-01,33.056
6-Mar-01,34.299
14-Mar-01,30.353
22-Mar-01,32.005
30-Mar-01,33.164
7-Apr-01,32.843
15-Apr-01,32.638
23-Apr-01,34.477
1-May-01,34.897
9-May-01,33.709
17-May-01,30.596
25-May-01,29.776
2-Jun-01,32.076
10-Jun-01,31.772
26-Jun-01,
4-Jul-01,30.945
12-Jul-01,30.664
20-Jul-01,30.589
28-Jul-01,30.778
5-Aug-01,34.46
13-Aug-01,34.255
21-Aug-01,33.409
29-Aug-01,34.724
6-Sep-01,38.465
14-Sep-01,40.994
22-Sep-01,42.521
30-Sep-01,40.782
8-Oct-01,40.512
16-Oct-01,39.853
24-Oct-01,42.083
1-Nov-01,43.943
9-Nov-01,38.993
17-Nov-01,40.577
25-Nov-01,37.506
3-Dec-01,39.922
11-Dec-01,34.592
19-Dec-01,40.479
27-Dec-01,37.918
1-Jan-02,34.081
9-Jan-02,37.5
17-Jan-02,36.198
25-Jan-02,38.35
2-Feb-02,39.593
10-Feb-02,
18-Feb-02,30.109
26-Feb-02,30.46
6-Mar-02,32.7
14-Mar-02,35.685
22-Mar-02,29.39
30-Mar-02,35.522
7-Apr-02,35.029
15-Apr-02,35.234
23-Apr-02,35.597
1-May-02,35.035
9-May-02,34.114
17-May-02,34.26
25-May-02,29.695
2-Jun-02,29.934
10-Jun-02,31.899
18-Jun-02,28.314
26-Jun-02,29.029
4-Jul-02,29.476
12-Jul-02,30.107
20-Jul-02,32.473
28-Jul-02,31.352
5-Aug-02,33.816
13-Aug-02,31.37
21-Aug-02,34.908
29-Aug-02,36.876
6-Sep-02,39.11
14-Sep-02,38.389
22-Sep-02,40.958
30-Sep-02,40.174
8-Oct-02,43.7
16-Oct-02,45.233
24-Oct-02,42.652
1-Nov-02,42.686
9-Nov-02,46.018
17-Nov-02,45.255
25-Nov-02,39.393
3-Dec-02,41.846
11-Dec-02,41.297
19-Dec-02,39.377
27-Dec-02,41.491
1-Jan-03,38.113
9-Jan-03,
17-Jan-03,30.126
25-Jan-03,32.563
2-Feb-03,36.003
10-Feb-03,37.997
18-Feb-03,
26-Feb-03,
6-Mar-03,32.793
14-Mar-03,32.232
22-Mar-03,34.093
30-Mar-03,35.054
7-Apr-03,34.223
15-Apr-03,33.189
23-Apr-03,34.724
1-May-03,32.488
9-May-03,32.807
17-May-03,33.498
25-May-03,31.252
2-Jun-03,31.338
10-Jun-03,29.858
18-Jun-03,28.323
26-Jun-03,30.513
4-Jul-03,29.895
12-Jul-03,31.236
20-Jul-03,29.318
28-Jul-03,30.959
5-Aug-03,33.408
13-Aug-03,34.015
21-Aug-03,33.993
29-Aug-03,34.882
6-Sep-03,37.702
14-Sep-03,40.211
22-Sep-03,40.018
30-Sep-03,41.895
8-Oct-03,40.162
16-Oct-03,43.492
24-Oct-03,44.324
1-Nov-03,43.421
9-Nov-03,39.103
17-Nov-03,43.148
25-Nov-03,43.745
3-Dec-03,39.529
11-Dec-03,37.458
19-Dec-03,
27-Dec-03,
1-Jan-04,32.595
9-Jan-04,29.837
17-Jan-04,35.909
25-Jan-04,22.535
2-Feb-04,
10-Feb-04,
18-Feb-04,28.888
26-Feb-04,31.395
5-Mar-04,32.5
13-Mar-04,32.246
21-Mar-04,32.985
29-Mar-04,32.47
6-Apr-04,33.629
14-Apr-04,33.065
22-Apr-04,33.165
30-Apr-04,31.405
8-May-04,30.273
16-May-04,31.037
24-May-04,29.129
1-Jun-04,29.484
9-Jun-04,29.932
17-Jun-04,25.437
25-Jun-04,26.905
3-Jul-04,30.025
11-Jul-04,28.538
19-Jul-04,26.595
27-Jul-04,31.213
4-Aug-04,31.103
12-Aug-04,32.598
20-Aug-04,32.943
28-Aug-04,34.375
5-Sep-04,35.578
13-Sep-04,36.854
21-Sep-04,39.362
29-Sep-04,41.306
7-Oct-04,40.794
15-Oct-04,43.099
23-Oct-04,41.796
31-Oct-04,41.977
8-Nov-04,40.476
16-Nov-04,39.872
24-Nov-04,40.84
2-Dec-04,41.48
10-Dec-04,42.462
18-Dec-04,42.31
26-Dec-04,
1-Jan-05,33.488
9-Jan-05,33.341
17-Jan-05,37.349
25-Jan-05,31.139
2-Feb-05,34.824
10-Feb-05,35.047
18-Feb-05,37.41
26-Feb-05,34.202
6-Mar-05,36.289
14-Mar-05,27.372
22-Mar-05,34.32
30-Mar-05,34.388
7-Apr-05,34.415
15-Apr-05,35.012
23-Apr-05,33.715
1-May-05,33.824
9-May-05,33.263
17-May-05,32.172
25-May-05,30.961
2-Jun-05,31.671
10-Jun-05,31.492
18-Jun-05,30.307
26-Jun-05,27.511
4-Jul-05,31.165
12-Jul-05,31.269
20-Jul-05,31.397
28-Jul-05,32.059
5-Aug-05,32.319
13-Aug-05,33.118
21-Aug-05,35.841
29-Aug-05,37.125
6-Sep-05,39.818
14-Sep-05,39.689
22-Sep-05,40.43
30-Sep-05,43.058
8-Oct-05,41.051
16-Oct-05,41.394
24-Oct-05,40.91
1-Nov-05,43.537
9-Nov-05,38.194
17-Nov-05,40.551
25-Nov-05,41.659
3-Dec-05,39.283
11-Dec-05,39.041
19-Dec-05,39.379
27-Dec-05,
1-Jan-06,35.352
9-Jan-06,34.54
17-Jan-06,
25-Jan-06,
2-Feb-06,32.914
10-Feb-06,34.72
18-Feb-06,35.304
26-Feb-06,35.381
6-Mar-06,33.626
14-Mar-06,
22-Mar-06,27.756
30-Mar-06,31.616
7-Apr-06,28.516
15-Apr-06,27.931
23-Apr-06,29.147
1-May-06,28.651
9-May-06,28.551
17-May-06,28.894
25-May-06,27.161
2-Jun-06,26.591
10-Jun-06,24.6
18-Jun-06,28.273
26-Jun-06,27.998
4-Jul-06,27.443
12-Jul-06,25.204
20-Jul-06,28.71
28-Jul-06,30.762
5-Aug-06,30.001
13-Aug-06,31.492
21-Aug-06,34.86
29-Aug-06,34.777
6-Sep-06,36.29
14-Sep-06,36.663
22-Sep-06,40.842
30-Sep-06,40.759
8-Oct-06,41.351
16-Oct-06,41.102
24-Oct-06,42.36
1-Nov-06,44.405
9-Nov-06,44.749
17-Nov-06,41.291
25-Nov-06,44.91
3-Dec-06,42.135
11-Dec-06,43.54
19-Dec-06,41.901
27-Dec-06,
1-Jan-07,
9-Jan-07,
17-Jan-07,30.495
25-Jan-07,38.326
2-Feb-07,34.959
10-Feb-07,36.257
18-Feb-07,35.36
26-Feb-07,
6-Mar-07,34.399
14-Mar-07,29.028
22-Mar-07,30.305
30-Mar-07,31.952
7-Apr-07,32.076
15-Apr-07,34.058
23-Apr-07,33.172
1-May-07,34.669
9-May-07,32.197
17-May-07,32.148
25-May-07,31.496
2-Jun-07,29.444
10-Jun-07,27.81
18-Jun-07,24.062
26-Jun-07,25.166
4-Jul-07,27.958
12-Jul-07,27.625
20-Jul-07,29.865
28-Jul-07,31.996
5-Aug-07,32.007
13-Aug-07,33.051
21-Aug-07,33.113
29-Aug-07,36.033
6-Sep-07,38.421
14-Sep-07,38.646
22-Sep-07,39.805
30-Sep-07,40.492
8-Oct-07,38.44
16-Oct-07,39.641
24-Oct-07,43.171
1-Nov-07,39.916
9-Nov-07,41.897
17-Nov-07,39.048
25-Nov-07,45.527
3-Dec-07,41.392
11-Dec-07,38.073
19-Dec-07,
27-Dec-07,
1-Jan-08,33.219
9-Jan-08,33.738
17-Jan-08,34.163
25-Jan-08,38.021
2-Feb-08,40.15
10-Feb-08,
18-Feb-08,29.592
26-Feb-08,32.073
5-Mar-08,33.361
13-Mar-08,31.667
21-Mar-08,33.88
29-Mar-08,32.468
6-Apr-08,34.843
14-Apr-08,32.906
22-Apr-08,34.319
30-Apr-08,32.262
8-May-08,32.922
16-May-08,30.7
24-May-08,30.425
1-Jun-08,29.083
9-Jun-08,30.926
17-Jun-08,27.971
25-Jun-08,30.153
3-Jul-08,28.035
11-Jul-08,31.088
19-Jul-08,28.916
27-Jul-08,31.49
4-Aug-08,31.568
12-Aug-08,30.355
20-Aug-08,34.061
