month_year,SN0101,SN0102,SN0103,SN0104,SN0201,SN0202,SN0203,SN0301,SN0302,SN0303,SN0401,SN0402,SN0403,SN0404,SN0501,SN0502,SN0503,SN0601,SN0602,SN0603,SN0701,SN0702,SN0703,SN0801,SN0802,SN0803,SN0901,SN0902,SN0903,SN1001,SN1002,SN1003,SN1101,SN1102,SN1103,SN1201,SN1202,SN1203,SN1204,SN1301,SN1302,SN1303,SN1401,SN1402,SN1403
01_2010,0,0,0.080917716,0.019503057,0.00534824,0.048327845,0.209222141,0.154185021,0.481689157,0.303824889,0.475095697,0.403207912,0.235664845,0.457716528,0.435598606,0.453017907,0.313428752,0.001677674,0.001410516,0.005040159,0.007336819,0.002874402,0.008808893,0.01845955,0.166681875,0.022380027,0.062369646,0.095937108,0.165793673,0.005532769,0.014056001,0.002825474,0.035372021,0.01538152,0.03047253,0.009322763,0.009313217,0.086050929,0.011749486,0.03392349,0.008526261,0.001344075,0.141102868,0.096278766,0.124522811
02_2010,0.069416955,0,0.354701608,0.115024249,0.129788622,0.132225084,0.091337995,0.052875996,0.003371716,0.015975241,0.021331268,0.028791677,0.070171212,0.015301286,0.001777704,0.000300592,0.020235214,0.018056709,0.010371764,0.007307094,0.074170791,0.022937103,0.211844546,0.139316444,0.244204183,0.173632662,0.279653719,0.102020275,0.083168168,0.586415555,0.319835961,0.68572439,0.042643478,0.028407802,0.039278526,0.078584605,0.113079764,0.127657583,0.119989686,0.164424265,0.154789543,0.097790879,0.061195121,0.041145839,0.085851544
03_2010,0,0,0,0,0,0,0,0,0,0,0,4.13E-05,6.31E-05,6.69E-05,0,0,2.58E-05,0.00287879,0.002381962,0.009368116,0,0.000908975,0.002065255,7.53E-06,4.16E-05,0,0.002875548,0,4.93E-05,0,5.29E-06,0,0.000616389,0.040489078,0.012480138,0.002367358,0.113803856,0.000514177,0.008606992,0,0,0,0.000615813,0.000174714,0.008114204
04_2010,0,0,0.048443943,0.034353614,0.039844472,0.005044625,0.011147103,0.016058686,0.12983261,0.009894319,0.030035389,0.052744411,0.039013552,0.004492142,0.016734588,0.046503286,0.11263593,12.97836121,11.5521004,6.597046834,1.907472628,1.103564025,2.283692705,0.017596614,0.007671747,0.029043376,0.104172496,0.002949032,0.051884352,0.080368336,0.003119936,0.103737996,0.401529868,1.032888285,1.025681967,1.689098804,0.722078108,0.043252431,1.904299612,0.11417931,0.140513067,0.038848926,0.508475337,0.442359201,0.548438223
05_2010,2.063940763,0,1.987570047,1.63121748,0.883808055,0.991158867,0.981607337,0.692897227,1.464581091,0.715427594,1.772963034,1.168960749,1.755568655,0.881583592,1.206338278,2.050541487,2.870724284,86.90064937,81.11411605,89.84211865,12.5074133,4.233655796,21.12362087,2.450748759,0.719528198,2.702014287,0.434989249,0.141361802,0.421896505,2.025076034,1.080906745,2.163197748,3.194078445,12.87669271,7.172799917,30.57796647,15.06735107,0.486511529,18.13398941,0.571245047,1.199202576,2.12127657,2.852658677,1.798200015,4.934869064
06_2010,31.5492878,0,30.00006294,25.92634074,39.26636781,38.5359375,47.41585501,51.91001033,67.84939131,59.77998548,101.9414458,102.6145303,73.181737,72.21586638,79.9544112,87.58959561,114.4682552,187.8826623,201.6755292,158.1284573,175.0780722,177.5158987,169.356892,24.87591231,36.76272607,25.44983164,64.23313738,27.33619867,46.72720382,26.84061773,22.81420331,24.6175495,154.2332764,148.2176432,152.8761375,121.0932681,143.4132409,93.04790251,152.8410174,46.4755296,28.3763623,25.76468951,122.5309806,109.5943646,122.6976511
07_2010,47.50746155,0,47.68549728,53.821462,76.77450756,85.21795044,109.8567409,105.9847566,192.8046496,120.7663011,197.7640678,182.1737259,224.4132144,143.5997936,145.8505859,174.5439773,210.2928255,259.7086672,270.9776651,247.1376018,387.2806166,312.4436953,293.8133935,78.37234199,135.5843996,76.01537069,180.7996081,109.2812727,242.178105,67.26737554,107.0751685,77.66097286,302.1054688,349.7763346,354.4352464,218.8697578,260.8604505,259.4577276,258.1137017,80.55324519,63.13732422,63.80282564,366.1685749,401.3071794,407.7675781
08_2010,150.7650452,0,139.6355896,161.567159,179.046688,157.4312256,144.4598453,188.0854436,243.5603762,164.54064,202.8270693,195.7227925,210.1422954,172.4464365,168.9378096,202.4556384,234.23125,316.6710403,343.6071699,308.9266643,377.1255983,339.686032,378.4089927,119.046618,148.6284141,110.6918132,275.445132,207.6938136,262.6948128,104.4996676,147.9706494,102.6533203,276.1855062,364.1342122,350.5352206,209.9452449,237.2445626,238.6923913,287.8396335,181.6898287,179.5355859,130.8716231,394.7934177,402.3007139,387.1613384
09_2010,295.8873291,0,303.3847046,321.50295,338.1828665,333.3475342,290.3948396,347.0387931,453.4525182,324.3263722,316.8368613,286.5431959,228.3314402,274.9279371,351.2743902,337.5981045,304.1757292,372.1144832,378.2998992,297.460728,308.8311163,254.5010201,343.5548537,289.904429,285.6938976,247.5661214,278.9746287,190.7980105,287.3071695,187.9390376,169.2705305,308.0665746,285.7818197,361.1067708,363.9023867,219.4209957,289.7739006,223.5113451,305.1262612,336.7695012,350.8637891,271.9880805,560.011629,539.2988955,542.4375514
10_2010,33.39631653,0,24.44762802,24.12495931,32.77760867,37.80275269,40.12529554,43.38620802,57.37162944,41.6488444,44.57375026,46.1103033,47.35941997,42.62237434,52.72026248,55.46429944,43.30734375,106.4235777,112.8028446,87.03621887,89.31603674,69.48135201,114.4231528,34.21412418,45.33690637,36.90705363,43.96201397,25.55993085,46.43613406,31.093937,32.44147851,28.89837015,50.90641785,79.97973633,71.74148459,53.47275771,73.59741724,50.74222996,90.79235566,38.24670222,38.83190674,25.68327431,80.62333311,141.0068275,123.7653423
11_2010,0,0,0,0,0,0,0,0,0.005317314,0,0.000382903,0.001437386,0.000522728,0.01262452,0.002497416,0.004835336,0,9.774265909,12.38640275,5.734977401,0.697022103,0,8.035058204,0,0.00556731,0,0.664366518,0,0.006500866,0,0,0,0.003569985,3.871109772,0.510253655,3.437426282,3.249093459,0,3.896111048,0,0,0,0.014036773,0.052494699,0.394932195
12_2010,1.70574975,0,1.548211932,1.230329831,0.801293312,0.80789814,0.795795792,1.084704257,0.981376944,0.718334687,1.122704171,0.755815728,0.692788275,0.710713656,0.876784534,0.856813337,0.801367188,0.00118854,0.003655465,0.002388482,0.724002323,0.233147785,0.31127605,0.746123407,0.757998369,0.609441241,0.454307229,0.641020043,0.432101252,0.687943885,0.436942167,0.834435299,0.753293355,0.758283424,0.768226875,0.050179453,0.106255081,0.495522142,0.086728793,0.973525179,0.987736588,0.759500593,0.851946776,0.967137435,0.838268481
01_2011,1.727506995,0,1.526616812,1.705970446,0.64127707,0.582562017,0.481300956,0.733089579,0.217226677,0.350005517,0.088650478,0.102561418,0.068462654,0.122619413,0.174607882,0.130615672,0.076178576,0.00255919,0.001256682,0.007462209,0.009328711,0.004752905,0.009207241,0.73233755,0.412312365,0.641364694,0.028014073,0.109727505,0.093256318,0.844040079,0.321961643,0.973522186,0.040047218,0.04588062,0.044646237,0.002494488,0.003902879,0.02100262,0.007315689,1.258378014,1.1000354,1.016266867,0.1011237,0.063557292,0.100576972
02_2011,1.012557983,0,0.772518754,0.585055033,0.302273,0.155113494,0.14783587,0.138651091,0.002995184,0.114204932,0.008186332,0.01799471,0.042987262,0.068364026,0.05478738,0.010092251,0.000136259,0,0,0,0,1.15E-05,0,0.419641825,0.445423697,0.470299244,0.163854996,0.431824706,0.333761219,0.633706641,0.396451599,0.764140557,0,0,0,0.000859954,0,0.039917403,0,0.238166252,0.431083031,0.48023887,0,0,0
03_2011,0,0,0,0,0,0,0,0,0,0,0,0.00059393,0.000197769,0,0,0,0.000130202,0.529412457,0.467018312,0.521478353,0.002117764,0.002367388,0.034850496,1.89E-05,8.89E-06,0,0.001034653,0,0.000848928,0,0,0,0.002594551,0.01291976,0.003722197,0.013798897,0.053080094,0.002947876,0.01759026,0,0,1.99E-05,0.087673406,0.078711855,0.009876374
04_2011,0,0,0,0.000813309,0.00162415,0.000862756,0.004513423,0.000597911,0.081750592,0.000417317,0.004788725,0.004024213,0.000694564,0.014741071,0.0031571,0.01105191,0.052208811,5.260800093,3.870564122,1.857117518,0.081463762,0.023914375,0.312736065,0.003615978,0.007561136,0.004072941,0.015974495,0.010385817,0.023365053,0.005411515,0.005385698,0.009339956,0.003063653,3.34E-05,0.000404944,0.033936265,0.02797531,0.047090074,0.148235578,0.005222426,0.002730129,0.001132107,0.071389401,0.024467131,0.00351522
05_2011,0.08987733,0,0,0,0.011831103,0.019262415,0.446024393,0.017836875,0.099681984,0.237346062,0.191444217,0.25558434,0.739168569,0.720678725,0.008486245,0.070690648,0.222447713,50.76243657,47.02196872,47.2893768,23.34256669,15.58662794,25.51361474,0.015168393,0.972578034,0,5.788744231,0.55120721,2.175965527,0.010600274,0.022849712,0,2.480241299,14.64711711,9.561905746,13.12327516,8.416277038,2.778057861,17.16833551,0.013032578,0.063684826,0.059869606,2.659983843,2.335408704,3.963916176
06_2011,5.342761993,0,10.39961815,7.420480092,17.68234448,28.60772705,36.1274928,30.96383913,43.72102074,37.65440956,38.54021062,44.73270576,41.49940892,43.54271079,37.33196575,38.81276015,42.72400065,178.6742121,183.1719853,157.7409153,94.137317,77.18037172,114.3694523,15.89421552,33.53395669,8.596508026,53.03410556,33.40202012,44.19971848,6.95741694,16.85807739,5.033842416,64.34914653,105.4190592,94.72589715,75.82366917,94.32876733,47.24034901,101.3266273,18.76607948,9.427255859,7.75116252,82.9334366,87.2727135,98.01813708
07_2011,62.56845474,0,58.86673355,77.80554708,68.503953,64.23192139,70.88360274,68.9470748,84.90099742,73.20626753,112.4870671,98.0296716,107.6086233,82.41022995,79.34539944,95.63231621,108.2826172,266.8424479,295.4856036,236.9876826,242.5241413,193.4531499,186.219685,73.4348273,94.52243787,73.98112488,85.17997757,42.97090184,113.2933769,60.0218376,55.98489941,72.5642174,184.2811483,246.6392578,225.4454198,133.7014424,143.5982911,119.4831776,161.767657,81.10486779,79.42764648,68.80998102,221.0946031,302.8044855,275.7929174
08_2011,168.5407867,0,168.0918579,187.2568359,235.9995013,224.3334229,215.6060855,217.4390266,279.8183404,214.4013421,257.7551995,248.0388354,227.4385023,223.7239645,225.3701886,238.4212186,283.0038542,370.0541533,423.327558,321.9527658,315.8217202,305.1803593,311.6901596,171.6303748,175.5831693,144.7862956,217.9592616,156.3247411,199.5262693,135.1887259,142.2433602,139.8720535,341.3169556,392.7092122,406.1981027,227.8438515,247.1904726,232.9005774,293.6528517,222.2886869,215.055,187.196718,551.6748384,507.5374124,470.6616982
09_2011,75.22821045,0,88.32821655,100.0095317,120.2947349,127.5430786,116.6521382,125.5755657,144.7788039,144.6461839,143.7496305,131.2229288,123.207224,135.7211822,153.5230207,138.1031634,126.0596354,204.7846388,247.483619,160.4499222,240.8886015,190.3247039,239.8387841,107.070944,122.0310808,72.29201762,127.600428,84.2687818,127.3005314,43.22080182,69.79188689,88.36947737,201.1697998,257.9225911,260.340595,124.6682309,144.3873536,124.9205927,181.0172015,111.5177434,107.2606348,94.3130111,264.4341999,286.5266029,296.578639
10_2011,6.864543915,0,6.575833321,9.614656448,20.71363084,24.54871063,36.08206337,19.47623838,31.61101525,35.86359738,42.78506057,57.18752271,42.10646459,45.38884231,39.72246868,29.01932713,41.61858398,31.0615443,36.01729461,20.56577205,57.91832066,41.06885077,51.84435775,21.21969352,31.56271723,7.544672648,18.4843605,8.87922491,26.64320279,4.447972724,3.472947361,6.048376675,66.23442586,88.97849935,96.14036745,15.16917149,19.72399319,35.30711405,36.18416743,17.39263822,22.10741699,15.77859183,73.20098105,59.95635776,91.5463289
11_2011,0,0,0,0.144570043,3.193089911,3.159394455,3.757166009,5.570590315,7.747344674,5.453885201,6.494988931,5.944514785,4.393059981,6.575130823,7.953297685,7.343866567,4.624819336,3.278624967,2.899081569,2.681609757,0.412666149,2.427365248,2.665183372,1.780902031,3.664463073,1.618790309,1.799025532,2.51932153,5.650801864,0.289798513,1.74803139,0.795921589,3.046242078,2.482049052,3.840674767,0.515045661,1.099918285,3.138444983,1.513805851,3.115151743,3.176185913,1.812000453,3.619796578,5.710978541,5.493302195
12_2011,1.862792253,0,0.915577054,0.822158178,0.394646421,0.310352945,0.407218632,0.38270639,0.268838753,0.355577811,0.445696857,0.277497536,0.182632798,0.300688636,0.457222543,0.420037004,0.188109741,0,0,0.001182571,0.099104134,0.031472968,0.005407976,0.556041861,0.462946734,0.61120824,0.203129507,0.398980606,0.20668713,0.986503763,0.398093871,1.459149591,0.030664091,0.186327775,0.100056784,0.011399143,0.028429808,0.087253836,0.01372552,0.549280255,0.693125229,0.600472424,0.028061979,0.068326391,0.105993647
01_2012,0.483031571,0,0.418704212,0.600413958,0.19967487,0.232198358,0.297084156,0.248347008,0.190634163,0.285065186,0.180626856,0.107302444,0.044975532,0.204032664,0.144252754,0.152954227,0.111330872,0.00033337,0.000604363,0.000299661,0.007325356,0,0.002186529,0.438446791,0.496901294,0.460721016,0.051540154,0.226400619,0.223922681,0.563567872,0.379534377,0.635796646,0.008517836,0.000553513,0.001295716,0.013476534,0.011272077,0.022330156,0.002227687,0.26960502,0.32343399,0.469927494,0.010835337,0,0
02_2012,1.452342987,0,1.188137174,0.826097091,0.497578235,0.379163289,0.372629141,0.344884982,0.24971812,0.273163184,0.159235001,0.219697686,0.469916444,0.335041622,0.210928917,0.161407799,0.097190056,0.114302912,0.085018773,0.077482304,0.329277726,0.200377823,0.471796401,0.88681363,1.020522951,1.047106266,0.981289401,1.340587084,1.153765648,1.439549061,0.882280604,1.950875118,0.094877114,0.464268303,0.347434201,0.348928542,0.489195902,0.652573892,0.483416296,0.507077848,0.702468719,0.923216276,0.180559838,0.086970132,0.37640948
03_2012,0.015151349,0,0.021836415,0.012750704,0.001380524,0.001633313,0.007795589,0.006927342,0.012656139,0.017533503,0.021641341,0.012431896,0.014526235,0.021263827,0.025881776,0.008805542,0.005797535,0.003162242,0.00233462,0.00872661,0.000207133,0.006393477,0.000269332,0.006486869,0.008085318,0.001033666,0.026836685,0.031342601,0.015915907,0.005429234,0.013114218,0.004580125,0.002719647,0.002103791,0.004298672,0.017160077,0.048526727,0.030695955,0.017922791,0.024019188,0.00944082,0.005320782,0.015467207,0.020579182,0.010186238
04_2012,0.022305425,0,0,0.005531377,0.00827431,0.008538552,0.03791406,0.016302183,0.018783248,0.053148771,0.015735302,0.027533698,0.033764205,0.052334997,0.067196317,0.008935803,0.026406507,3.36379405,4.120171824,5.283799913,0.714034622,0.88573655,1.561769851,0.028632799,0.040030059,0.017794915,0.303431747,0.341322433,0.246337793,0.030840219,0.091166942,0.003789747,0.01934538,0.003612346,0.011250368,0.656248745,0.108462631,0.380466727,0.639722542,0.052117781,0.018002927,0.047001513,0.182980077,0.046733227,0.006895363
05_2012,0,0,0.049884737,0.056861495,0.009879318,0,0.002267556,0.356384847,3.121944094,0.094629544,3.759157748,5.862933492,9.149218108,2.255770413,1.190898616,2.541122937,6.847076823,50.46885851,50.1290362,48.45719214,49.0727759,37.62736365,55.81366356,0.000991467,0.019924038,0.012113811,10.04785317,1.208912872,4.937442739,0.023678612,0.000494309,0.016185314,16.68026733,21.02543538,22.47257308,24.01078446,22.3249283,15.35068784,38.29278044,0.369741293,0.121114712,0.00325821,11.68284379,6.384468868,12.58338687
06_2012,7.541313648,0,6.962486267,8.308015188,15.01341994,21.04641724,25.80816008,40.75487439,86.52479331,37.08342097,73.44351774,63.82453102,56.47815584,39.58584998,50.64920565,70.87672099,104.6471289,154.9675982,160.3529171,148.4103807,177.8670115,154.2053643,124.5360705,13.36937834,14.36695393,6.003744125,105.3732209,34.94237713,50.41075177,2.7139964,6.062431868,2.566640393,150.6547648,176.7528971,172.6593407,105.0612317,117.7591793,66.27413383,108.0565268,22.2015625,11.28950928,6.99578344,120.0537109,60.9572333,87.98130397
07_2012,114.2479248,0,110.0763931,138.4264323,165.6483959,157.8914551,159.9619269,203.5867008,250.5609451,174.2411734,203.6523965,168.4727698,141.8421567,141.112102,190.098347,218.8275166,225.5896615,261.9654614,278.1421686,258.2324892,292.2107088,255.881867,218.2122881,132.0737782,166.3967304,119.8930155,121.6031482,73.22818632,160.9115805,96.69930186,98.98188095,105.6429065,300.6320394,312.9431315,335.5470682,189.9898201,167.2059034,126.4665506,181.9363789,176.275631,163.5347266,132.8724536,394.3146103,423.8275862,402.505294
08_2012,288.6517944,0,280.8029785,283.0860799,316.672623,277.3049561,215.1178428,293.3934986,338.7846632,226.5690355,254.9574008,222.8960302,179.8706697,193.6048054,272.5349181,290.5726178,277.1294271,323.3123331,332.0050088,311.6885776,276.0309333,248.9059266,258.7961686,184.8744273,169.3780758,105.2811483,372.4130569,271.0180778,292.7618937,76.13499418,139.5770349,103.5107085,271.2017822,338.1895182,344.2815505,312.7593682,301.1169933,204.0889266,254.220782,314.365024,308.6480859,223.0910485,545.0900682,522.3689723,519.2010691
09_2012,186.5904541,0,203.8158569,219.5024821,266.2817071,260.43125,200.3774671,237.7514368,294.2702708,215.3625801,208.3852407,204.1641533,166.6223659,171.4582105,222.3875286,211.7131788,228.7325781,294.3170072,353.0383695,246.1639877,303.2147734,261.0574244,309.0928358,233.9530956,148.1955893,172.947876,163.9638511,89.10217569,149.9707989,127.4841049,98.08887751,219.6618737,251.821228,363.6404297,333.6099974,206.2453328,240.6775813,174.0732507,259.3876822,230.43122,239.5022461,223.1921729,403.7693517,410.3761113,428.1862664
10_2012,11.69190216,0,10.25055504,11.0734787,39.8703873,49.65158081,67.40207391,45.15676634,75.94235437,59.1079665,49.22841005,46.42494663,41.15171734,46.65387308,58.32587414,56.05411117,58.61834635,123.2211205,139.8295111,87.20408285,94.61382672,74.98447452,116.88782,42.03753157,74.21779651,34.79341888,34.16508096,29.99866574,55.12633262,12.5267334,34.7225076,9.453764817,85.84709676,98.39246419,99.85776528,45.52911932,51.48102892,46.07432914,79.23756306,37.2516564,37.65905273,20.95993584,107.4933773,152.0991548,154.175884
11_2012,0,0,0,0,0,0,0,0,0.25793307,0,0.270801931,0.309084183,0.418905961,0.09711002,0.045912033,0.221922984,0.124485842,22.32120977,34.5551049,13.95608275,22.23935679,7.50184505,15.65533967,0.088034343,0.049299683,0.00166408,0.768745951,0.20861985,0.495335984,0,0.013056618,0.000154029,3.952431997,21.55250041,12.16244742,4.119485698,4.337055039,0.765911467,7.482208389,0,0,0.031469938,11.69483895,13.62847269,17.42652973
12_2012,0.751690269,0,0.667155802,0.582024773,0.370909021,0.374441576,0.389587503,0.529818831,0.389269745,0.421780806,0.462166967,0.46605292,0.493951245,0.391447679,0.458035074,0.469487519,0.447976074,1.015409355,1.677297285,0.551588329,1.280253367,0.727523464,1.140408942,0.448388035,0.389868549,0.292649666,0.493079258,0.394654607,0.339804058,0.290850923,0.2535282,0.522353205,0.530380567,0.471106021,0.455123818,0.257544101,0.323714218,0.510994256,0.558622591,0.567657823,0.611711426,0.44624735,0.184135218,0.020303358,0.028208212
