MonthYear,GD_Conflict_SN1403,GD_Conflict_SN0701,GD_Conflict_SN0103,GD_Conflict_SN1102,GD_Conflict_SN0101,GD_Conflict_SN1001,GD_Conflict_SN1201,GD_Conflict_SN0502,GD_Conflict_SN1301,GD_Conflict_SN0902,GD_Conflict_SN0202,GD_Conflict_SN1002,GD_Conflict_SN0301,GD_Conflict_SN0802,GD_Conflict_SN1401,GD_Conflict_SN0302,GD_Conflict_SN1202,GD_Conflict_SN1204,GD_Conflict_SN0801,GD_Conflict_SN0603,GD_Conflict_SN1302,GD_Conflict_SN0303,GD_Conflict_SN0104,GD_Conflict_SN0102,GD_Conflict_SN0201,GD_Conflict_SN0803,GD_Conflict_SN1003,GD_Conflict_SN1203,GD_Conflict_SN1303,GD_Conflict_SN0403,GD_Conflict_SN0401,GD_Conflict_SN0601,GD_Conflict_SN0703,GD_Conflict_SN0203,GD_Conflict_SN0402,GD_Conflict_SN0702,GD_Conflict_SN0901,GD_Conflict_SN0503,GD_Conflict_SN1103,GD_Conflict_SN1101,GD_Conflict_SN0105,GD_Conflict_SN0404,GD_Conflict_SN1402,GD_Conflict_SN0903,GD_Conflict_SN0501,GD_Economic_SN1403,GD_Economic_SN0701,GD_Economic_SN0103,GD_Economic_SN1102,GD_Economic_SN0101,GD_Economic_SN1001,GD_Economic_SN1201,GD_Economic_SN0502,GD_Economic_SN1301,GD_Economic_SN0902,GD_Economic_SN0202,GD_Economic_SN1002,GD_Economic_SN0301,GD_Economic_SN0802,GD_Economic_SN1401,GD_Economic_SN0302,GD_Economic_SN1202,GD_Economic_SN1204,GD_Economic_SN0801,GD_Economic_SN0603,GD_Economic_SN1302,GD_Economic_SN0303,GD_Economic_SN0104,GD_Economic_SN0102,GD_Economic_SN0201,GD_Economic_SN0803,GD_Economic_SN1003,GD_Economic_SN1203,GD_Economic_SN1303,GD_Economic_SN0403,GD_Economic_SN0401,GD_Economic_SN0601,GD_Economic_SN0703,GD_Economic_SN0203,GD_Economic_SN0402,GD_Economic_SN0702,GD_Economic_SN0901,GD_Economic_SN0503,GD_Economic_SN1103,GD_Economic_SN1101,GD_Economic_SN0105,GD_Economic_SN0404,GD_Economic_SN1402,GD_Economic_SN0903,GD_Economic_SN0501,GD_Governance_SN1403,GD_Governance_SN0701,GD_Governance_SN0103,GD_Governance_SN1102,GD_Governance_SN0101,GD_Governance_SN1001,GD_Governance_SN1201,GD_Governance_SN0502,GD_Governance_SN1301,GD_Governance_SN0902,GD_Governance_SN0202,GD_Governance_SN1002,GD_Governance_SN0301,GD_Governance_SN0802,GD_Governance_SN1401,GD_Governance_SN0302,GD_Governance_SN1202,GD_Governance_SN1204,GD_Governance_SN0801,GD_Governance_SN0603,GD_Governance_SN1302,GD_Governance_SN0303,GD_Governance_SN0104,GD_Governance_SN0102,GD_Governance_SN0201,GD_Governance_SN0803,GD_Governance_SN1003,GD_Governance_SN1203,GD_Governance_SN1303,GD_Governance_SN0403,GD_Governance_SN0401,GD_Governance_SN0601,GD_Governance_SN0703,GD_Governance_SN0203,GD_Governance_SN0402,GD_Governance_SN0702,GD_Governance_SN0901,GD_Governance_SN0503,GD_Governance_SN1103,GD_Governance_SN1101,GD_Governance_SN0105,GD_Governance_SN0404,GD_Governance_SN1402,GD_Governance_SN0903,GD_Governance_SN0501,GD_Political_SN1403,GD_Political_SN0701,GD_Political_SN0103,GD_Political_SN1102,GD_Political_SN0101,GD_Political_SN1001,GD_Political_SN1201,GD_Political_SN0502,GD_Political_SN1301,GD_Political_SN0902,GD_Political_SN0202,GD_Political_SN1002,GD_Political_SN0301,GD_Political_SN0802,GD_Political_SN1401,GD_Political_SN0302,GD_Political_SN1202,GD_Political_SN1204,GD_Political_SN0801,GD_Political_SN0603,GD_Political_SN1302,GD_Political_SN0303,GD_Political_SN0104,GD_Political_SN0102,GD_Political_SN0201,GD_Political_SN0803,GD_Political_SN1003,GD_Political_SN1203,GD_Political_SN1303,GD_Political_SN0403,GD_Political_SN0401,GD_Political_SN0601,GD_Political_SN0703,GD_Political_SN0203,GD_Political_SN0402,GD_Political_SN0702,GD_Political_SN0901,GD_Political_SN0503,GD_Political_SN1103,GD_Political_SN1101,GD_Political_SN0105,GD_Political_SN0404,GD_Political_SN1402,GD_Political_SN0903,GD_Political_SN0501,GD_Social_SN1403,GD_Social_SN0701,GD_Social_SN0103,GD_Social_SN1102,GD_Social_SN0101,GD_Social_SN1001,GD_Social_SN1201,GD_Social_SN0502,GD_Social_SN1301,GD_Social_SN0902,GD_Social_SN0202,GD_Social_SN1002,GD_Social_SN0301,GD_Social_SN0802,GD_Social_SN1401,GD_Social_SN0302,GD_Social_SN1202,GD_Social_SN1204,GD_Social_SN0801,GD_Social_SN0603,GD_Social_SN1302,GD_Social_SN0303,GD_Social_SN0104,GD_Social_SN0102,GD_Social_SN0201,GD_Social_SN0803,GD_Social_SN1003,GD_Social_SN1203,GD_Social_SN1303,GD_Social_SN0403,GD_Social_SN0401,GD_Social_SN0601,GD_Social_SN0703,GD_Social_SN0203,GD_Social_SN0402,GD_Social_SN0702,GD_Social_SN0901,GD_Social_SN0503,GD_Social_SN1103,GD_Social_SN1101,GD_Social_SN0105,GD_Social_SN0404,GD_Social_SN1402,GD_Social_SN0903,GD_Social_SN0501
01/02/2010,2.978963995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2010,3.350515464,4.132097774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.350515464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/2010,0,0,5.607476636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.86956522,0,0,0,0,6.18556701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2010,0,0,0,7.413509061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2010,0,0,0,0,4.34975935,5.892623309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.587080615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.587080615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.638115632,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2010,2.109503284,0,0,0,0,0,11.91658391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/2010,0,0,0,0,0,0,0,5.680119581,6.75944334,10.46373365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.46373365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.113462669,6.518136584,0,0,0,0,0,0,0,0,0,8.742138365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
